	North America	Bermuda	Canada	Greenland	Mexico	Saint Pierre and Miquelon	United States	Central & South America	Antarctica	Antigua and Barbuda	Argentina	Aruba	Bahamas, The	Barbados	Belize	Bolivia	Brazil	Cayman Islands	Chile	Colombia	Costa Rica	Cuba	Dominica	Dominican Republic	Ecuador	El Salvador	Falkland Islands (Islas Malvinas)	French Guiana	Grenada	Guadeloupe	Guatemala	Guyana	Haiti	Honduras	Jamaica	Martinique	Montserrat	Netherlands Antilles	Nicaragua	Panama	Paraguay	Peru	Puerto Rico	Saint Kitts and Nevis	Saint Lucia	Saint Vincent/Grenadines	Suriname	Trinidad and Tobago	Turks and Caicos Islands	Uruguay	Venezuela	Virgin Islands,  U.S.	Virgin Islands, British	Europe	Albania	Austria	Belgium	Bosnia and Herzegovina	Bulgaria	Croatia	Cyprus	Czech Republic	Denmark	Faroe Islands	Finland	Former Czechoslovakia	Former Serbia and Montenegro	Former Yugoslavia	France	Germany	Germany, East	Germany, West	Gibraltar	Greece	Hungary	Iceland	Ireland	Italy	Luxembourg	Macedonia	Malta	Montenegro	Netherlands	Norway	Poland	Portugal	Romania	Serbia	Slovakia	Slovenia	Spain	Sweden	Switzerland	Turkey	United Kingdom	Eurasia	Armenia	Azerbaijan	Belarus	Estonia	Former U.S.S.R.	Georgia	Kazakhstan	Kyrgyzstan	Latvia	Lithuania	Moldova	Russia	Tajikistan	Turkmenistan	Ukraine	Uzbekistan	Middle East	Bahrain	Iran	Iraq	Israel	Jordan	Kuwait	Lebanon	Oman	Palestine	Qatar	Saudi Arabia	Syria	United Arab Emirates	Yemen	Africa	Algeria	Angola	Benin	Botswana	Burkina Faso	Burundi	Cameroon	Cape Verde	Central African Republic	Chad	Comoros	Congo (Brazzaville)	Congo (Kinshasa)	Cote dIvoire (IvoryCoast)	Djibouti	Egypt	Equatorial Guinea	Eritrea	Ethiopia	Gabon	Gambia, The	Ghana	Guinea	Guinea-Bissau	Kenya	Lesotho	Liberia	Libya	Madagascar	Malawi	Mali	Mauritania	Mauritius	Morocco	Mozambique	Namibia	Niger	Nigeria	Reunion	Rwanda	Saint Helena	Sao Tome and Principe	Senegal	Seychelles	Sierra Leone	Somalia	South Africa	Sudan and South Sudan	Swaziland	Tanzania	Togo	Tunisia	Uganda	Western Sahara	Zambia	Zimbabwe	Asia & Oceania	Afghanistan	American Samoa	Australia	Bangladesh	Bhutan	Brunei	Burma (Myanmar)	Cambodia	China	Cook Islands	Fiji	French Polynesia	Guam	Hawaiian Trade Zone	Hong Kong	India	Indonesia	Japan	Kiribati	Korea, North	Korea, South	Laos	Macau	Malaysia	Maldives	Mongolia	Nauru	Nepal	New Caledonia	New Zealand	Niue	Pakistan	Papua New Guinea	Philippines	Samoa	Singapore	Solomon Islands	Sri Lanka	Taiwan	Thailand	Timor-Leste (East Timor)	Tonga	U.S. Pacific Islands	Vanuatu	Vietnam	Wake Island	World
1980	17.09818	9.6974	18.60054	NA	3.51635	24.5576	21.02248	2.14033	NA	5.94316	3.27237	--	19.02207	3.84208	1.56146	0.82019	1.50922	5.72532	2.15013	1.48915	0.98627	3.10176	0.36258	0.95408	1.61408	0.43587	5.84	4.99871	0.5073	1.44003	0.62502	1.87196	0.15427	0.49899	3.49488	1.87189	1.43415	68.77983	0.65675	2.75312	0.437	1.26219	8.99735	1.15995	0.91291	0.38649	5.90784	9.68178	NA	1.96573	6.38312	170.01335	2.01582	8.83987	3.31607	7.39673	13.78054	--	10.01366	--	4.4891	--	12.68137	NA	11.5786	13.67585	--	4.86622	9.05609	--	17.71043	12.33757	16.95667	5.38978	7.81877	7.2242	6.30358	6.58351	31.94798	--	3.45857	--	14.21795	8.21651	12.05649	2.40986	7.72248	--	--	--	5.20151	9.90276	7.36604	1.52269	10.85599	11.58938	--	--	--	--	11.58938	--	--	--	--	--	--	--	--	--	--	--	5.2324	22.32413	2.94213	3.90463	6.28655	2.40762	22.93207	2.22077	3.34043	--	58.52002	17.65425	1.87722	30.30305	0.70454	1.12144	3.56155	0.50261	0.12165	1.38633	0.0662	0.02282	0.25443	1.00969	0.05934	0.06108	0.12419	0.43046	0.11714	0.46721	4.46146	0.95969	0.21675	--	0.04404	6.69846	0.22714	0.2026	0.18324	0.10548	0.35219	0.10741	1.01616	10.57248	0.13443	0.092	0.06128	0.39338	0.88639	0.84319	0.21659	--	0.10015	0.92405	1.177	0.02966	NA	0.34123	0.44337	3.28924	0.21319	0.19304	7.75417	0.16236	1.19347	0.10273	0.2218	1.3161	0.05657	1.26561	0.64331	1.2422	1.43083	0.09047	12.41039	13.60402	0.08685	0.01225	28.26641	0.12037	0.00595	1.47092	1.56135	2.05772	1.39765	33.15957	NA	3.58876	0.42522	0.56811	8.10749	0.38845	6.45759	3.45545	0.12598	1.83312	1.95617	0.09197	4.27279	16.36965	0.0325	12.33995	6.32551	1.405	0.39515	0.60403	0.66478	0.58412	12.18522	0.42328	0.32403	3.95763	0.71372	--	0.31863	1.06812	0.99862	0.24944	NA	4.13964
1981	16.51173	8.37118	17.75447	NA	3.80899	24.51945	20.25196	2.07087	NA	5.31906	3.12587	--	19.98432	4.0716	1.38365	0.83896	1.39071	5.89228	2.05196	1.5055	0.95979	3.14068	0.4758	0.89592	1.65081	0.38243	5.755	4.318	0.5689	2.02947	0.5289	2.15173	0.10071	0.42637	2.96495	1.85258	1.64334	63.08354	0.6579	2.62137	0.39202	1.28273	9.58028	1.22781	0.70793	0.35262	5.12534	9.12103	NA	1.76209	6.69457	151.59334	3.06251	8.46434	3.2559	7.20353	14.01199	--	9.74583	--	3.82263	--	11.77563	NA	10.85265	13.53664	--	5.26083	8.17483	--	17.73824	11.68722	18.72481	5.40321	7.73581	6.74154	5.99192	6.4705	27.50042	--	3.78464	--	13.56684	7.59976	10.76845	2.14115	7.80065	--	--	--	5.43646	8.75491	6.17696	1.36466	10.59083	11.60157	--	--	--	--	11.60157	--	--	--	--	--	--	--	--	--	--	--	4.79302	24.31289	2.60798	2.75576	6.53918	2.73503	16.47656	2.02488	3.3284	--	56.26916	16.44474	1.93735	32.81872	0.69776	1.08671	2.8181	0.49133	0.11678	1.35659	0.0646	0.02493	0.25322	0.99436	0.07519	0.05826	0.12127	0.50578	0.12043	0.47633	3.40203	1.10684	0.20373	--	0.04218	6.82144	0.21949	0.17448	0.17617	0.10289	0.34056	0.09781	0.90719	8.31411	0.11308	0.09494	0.08049	0.3694	0.78439	0.81062	0.18907	--	0.10178	0.76236	1.16967	0.06618	0.42116	0.33242	0.4186	2.61999	0.20875	0.2219	8.1521	0.16046	1.08449	0.11529	0.19832	1.41282	0.03499	1.13064	0.55298	1.17228	1.42599	0.11443	13.72407	13.7113	0.08835	0.0563	28.90296	0.12115	0.00578	1.44419	3.17579	1.36781	1.99838	45.82507	NA	3.63204	0.48312	0.59639	8.03248	0.45359	6.58342	3.56131	0.04944	1.68714	1.98134	0.08827	3.71411	16.23281	0.02538	11.4482	6.15007	1.405	0.39968	0.58798	0.6155	0.61789	12.18397	0.58353	0.31895	3.51946	0.71756	--	0.46704	1.0296	0.84959	0.23694	NA	4.01201
1982	15.57461	8.85151	16.79528	NA	3.93829	22.23747	19.0417	2.00051	NA	7.15048	3.28846	--	16.67081	4.03003	1.25842	0.72258	1.33887	5.69716	1.70554	1.50096	0.87438	3.37612	0.47444	0.93507	1.74257	0.36857	5.755	5.49129	0.63064	2.56088	0.50574	1.73374	0.13997	0.41827	2.46121	1.83166	1.66095	59.63223	0.64138	2.32079	0.3744	1.43845	6.92049	1.42017	0.84292	0.3778	4.46126	8.76059	NA	1.65771	6.5046	109.92755	2.93327	8.26527	3.17534	6.74238	13.10456	--	10.05154	--	4.03263	--	10.83229	NA	9.70954	13.44766	--	5.36176	7.75705	--	17.92381	11.3084	16.91382	5.22546	7.69109	6.64962	5.7963	6.28219	25.74064	--	4.15426	--	12.69392	6.974	10.77002	2.78242	8.02587	--	--	--	5.81672	7.59708	5.69436	1.54363	10.11592	11.9257	--	--	--	--	11.9257	--	--	--	--	--	--	--	--	--	--	--	4.80447	24.77503	3.0926	2.59609	6.74785	2.999	15.43204	1.95813	3.83693	--	54.49356	14.66666	1.88575	31.39769	0.79734	1.12117	3.29437	0.51108	0.07562	1.23989	0.06318	0.0214	0.28754	0.43731	0.0785	0.05559	0.11851	0.41031	0.12025	0.42462	3.30521	1.19655	0.2431	--	0.04482	6.44547	0.21247	0.19538	0.17538	0.10183	0.32085	0.10255	0.88237	8.30164	0.09552	0.08249	0.05909	0.36307	0.74417	0.82986	0.19704	--	0.10583	0.70665	1.23717	0.06147	0.41723	0.32655	0.41656	2.37355	0.22417	0.21747	8.46601	0.16914	1.05363	0.11	0.18519	1.29794	0.04051	1.13383	0.56102	1.07048	1.42348	0.13512	18.3634	13.71581	0.09281	0.06759	29.34552	0.13117	0.00561	1.48835	3.16167	1.55058	2.60211	35.15818	NA	4.06033	0.49004	0.58776	7.59607	0.44751	6.81537	3.53324	0.04443	1.731	2.02504	0.08549	4.2832	15.94047	0.03436	7.95117	6.43672	1.405	0.45077	0.57347	0.59561	0.66998	12.32574	0.50958	0.32533	3.42188	0.67878	--	0.43438	0.99535	0.82907	0.25247	NA	3.91965
1983	15.21105	9.29215	16.13133	NA	3.55474	24.37603	18.76971	1.90218	NA	4.38845	3.29651	--	12.27903	4.23125	1.24211	0.78258	1.24126	5.37252	1.70244	1.50871	0.90343	3.05378	0.47088	1.1047	1.50267	0.40403	5.755	4.88237	0.60869	2.66188	0.5096	1.53628	0.122	0.43126	2.60668	1.79295	1.67561	54.51982	0.59675	2.41078	0.38451	1.29212	6.65917	1.16748	0.76235	0.37238	3.16935	13.11493	NA	1.30265	5.97439	77.13945	2.85272	8.18255	3.2035	6.76078	11.59705	--	10.04005	--	4.38144	--	10.0662	NA	9.10688	13.5454	--	5.57075	7.45732	--	17.64254	11.35538	13.6024	5.53481	7.56915	6.82788	5.61608	6.11333	24.16313	--	3.10707	--	12.11841	7.131	10.69425	2.84032	8.31237	--	--	--	5.90801	7.12947	6.1006	1.61301	10.21051	12.0508	--	--	--	--	12.0508	--	--	--	--	--	--	--	--	--	--	--	5.03105	27.29561	3.467	2.91722	6.93983	3.09606	16.28417	2.01664	4.20203	--	43.87548	13.91529	2.08907	35.31381	0.70751	1.13697	3.46153	0.53195	0.11116	1.13731	0.06197	0.02384	0.7529	0.42434	0.08222	0.05291	0.11573	0.33094	0.11597	0.44193	2.35839	1.35895	0.23363	--	0.04984	6.13531	0.20568	0.16397	0.17326	0.09943	0.29978	0.09938	0.85736	7.87018	0.12098	0.06386	0.05759	0.35257	0.84291	0.84099	0.18216	--	0.11516	0.6846	1.41281	0.06862	0.41049	0.32017	0.38806	4.11096	0.20155	0.20631	8.31124	0.15663	0.78896	0.09424	0.19437	1.46037	0.03829	1.02274	0.48211	1.23434	1.44314	0.16941	11.16748	14.22064	0.08248	0.06014	23.73595	0.1484	0.0475	1.54945	3.174	1.51582	3.35575	32.16252	NA	4.66759	0.50431	0.58724	7.27035	0.44363	7.01738	3.72061	0.04686	2.31463	2.42397	0.08343	4.31966	15.64502	0.03367	7.26467	6.56844	1.405	0.42909	0.55915	0.56435	0.67031	12.08007	0.54635	0.32793	3.76958	0.71538	--	0.46271	0.96147	0.78118	0.24956	NA	3.88382
1984	15.83737	9.01366	16.87116	NA	3.71789	23.54279	19.58462	1.9474	NA	5.00807	3.43425	--	10.92985	4.05897	1.31441	0.72882	1.34275	5.28521	1.73832	1.56864	0.76864	3.13985	0.47315	0.94723	1.45099	0.40236	5.77	3.89863	0.6293	2.8944	0.43573	1.75429	0.12156	0.4232	2.16488	1.57737	1.69551	51.03186	0.5566	2.30674	0.40809	1.19984	7.27602	1.17295	0.75295	0.34025	2.61167	13.73458	NA	1.22813	5.81113	89.50239	2.5224	8.24705	3.18732	7.19617	12.05145	--	10.12023	--	4.459	--	10.65881	NA	8.76623	13.86761	--	6.43472	7.16592	--	18.5844	11.63099	12.6524	5.6492	7.65006	7.05877	5.41392	6.18247	26.63265	--	4.50855	--	12.7538	7.41374	11.07709	2.7376	8.05562	--	--	--	5.49021	6.86465	6.05117	1.64535	9.95938	12.42965	--	--	--	--	12.42965	--	--	--	--	--	--	--	--	--	--	--	5.08254	23.448	3.22782	2.82678	6.88485	3.09287	16.18054	1.89123	5.37348	--	47.5686	14.59618	2.21281	37.03026	0.8682	1.1626	3.51184	0.45861	0.10639	1.11775	0.06026	0.02919	0.71927	0.50713	0.07542	0.02464	0.11486	0.3259	0.10532	0.41507	1.93405	1.44114	0.22168	--	0.04749	6.51805	0.21966	0.17718	0.16776	0.13237	0.28292	0.09657	0.74962	7.23118	0.11658	0.05911	0.05665	0.51807	0.86063	0.78541	0.15845	--	0.12017	0.71026	1.53357	0.10867	0.37126	0.31435	0.45	4.26397	0.19668	0.20686	8.6305	0.13929	0.84494	0.10015	0.22109	1.48895	0.03813	1.01991	0.46221	1.12258	1.53841	0.16685	12.42532	15.17834	0.09313	0.05113	20.98924	0.15855	0.05186	1.65378	3.12349	1.10212	4.92653	10.8187	NA	4.93198	0.56707	0.59925	7.79555	0.3189	7.11833	4.04932	0.04248	2.43504	2.75093	0.32678	4.27515	15.86505	0.04191	8.22358	6.91251	1.405	0.42753	0.61993	0.5074	0.87306	12.55531	0.53293	0.35836	4.27279	0.78056	--	0.46273	0.87933	0.78415	0.25248	NA	3.99939
1985	15.64333	8.81971	17.10267	NA	3.65645	20.57802	19.35332	1.92002	NA	4.79425	3.17729	--	9.7546	4.45646	1.27635	0.63772	1.40237	5.21491	1.6998	1.52123	0.78864	3.17844	0.5459	1.03915	1.49296	0.41461	7.21	3.48756	0.63981	2.61667	0.47771	1.77393	0.13649	0.38517	1.93917	1.90561	1.85287	42.60078	0.61815	1.66492	0.40149	1.17463	6.22993	1.17421	0.92416	0.38323	3.27224	15.01674	NA	1.14545	5.67144	100.44819	2.48426	8.39669	3.1482	7.28461	12.09572	--	10.34503	--	4.72104	--	12.39188	NA	9.54808	13.65242	--	6.68973	7.17275	--	19.50862	11.28665	28.679	6.10904	7.7444	7.64272	5.65424	6.44431	26.63359	--	3.96104	--	13.19357	8.16893	11.33738	2.95113	8.11395	--	--	--	5.32099	7.40196	6.231	1.82575	10.37499	12.72838	--	--	--	--	12.72838	--	--	--	--	--	--	--	--	--	--	--	5.08534	26.80048	3.28959	3.03232	6.51794	3.08124	14.81578	2.16471	4.92371	--	38.83623	13.44456	2.24529	43.49731	0.9402	1.15747	3.24029	0.56526	0.123	1.39013	0.05618	0.02958	0.64675	0.49507	0.07365	0.03026	0.0947	0.4706	0.09961	0.414	1.88003	1.51046	0.2453	--	0.05608	6.41584	0.2084	0.14419	0.14082	0.14042	0.27714	0.09612	0.73097	7.52154	0.12332	0.06192	0.06108	0.50079	0.87137	0.805	0.16579	--	0.11785	0.71862	1.464	0.11153	0.36142	0.31799	0.43185	4.30636	0.21585	0.19615	8.51837	0.15128	1.00809	0.09836	0.20032	1.47041	0.03963	1.00336	0.42652	1.12707	1.57964	0.16606	11.17646	15.14488	0.09611	0.06304	22.94906	0.16271	0.05267	1.75595	3.16641	1.11115	4.1481	5.23094	NA	5.1923	0.58896	0.60775	7.67051	0.31467	7.3283	4.22301	0.04691	1.91808	2.8452	0.35223	4.64299	15.35869	0.03292	8.40517	6.94621	1.435	0.45658	0.63637	0.46958	0.68976	12.16096	0.4481	0.29705	4.21949	0.8678	--	0.47862	0.76703	0.82498	0.27963	NA	4.02211
1986	15.39395	8.92133	16.3265	NA	3.41004	27.77706	19.20809	2.01978	NA	5.01134	3.324	1.80473	10.43167	5.01528	1.53585	0.6361	1.51697	5.13294	1.5683	1.48403	0.73201	3.44736	0.55569	1.05365	1.58899	0.45958	7.99	4.27322	0.74128	2.61832	0.41278	1.82977	0.13029	0.40954	2.09383	2.1277	1.96698	54.76878	0.64269	5.09507	0.40696	1.2829	6.72902	1.25231	0.93223	0.37943	3.42843	13.88898	NA	1.13851	5.97862	65.98808	2.77089	8.43284	3.0885	7.11375	12.23746	--	10.81777	--	5.16471	--	12.66344	NA	10.23872	13.39787	--	6.55728	6.53244	--	19.08374	11.77827	49.38151	6.40024	7.26937	8.07216	6.69094	6.54527	26.33031	--	4.66954	--	13.40443	8.75262	11.40609	3.16914	8.31131	--	--	--	5.14725	7.83469	6.6671	2.02769	10.44874	13.08773	--	--	--	--	13.08773	--	--	--	--	--	--	--	--	--	--	--	5.26147	27.85926	3.27759	3.45412	6.7758	3.31721	16.34998	2.15329	5.66515	--	36.87653	13.57921	2.21384	46.37507	0.91923	1.17173	3.16861	0.59297	0.12084	1.46218	0.0669	0.03	0.89145	0.16528	0.07448	0.05328	0.09804	0.40698	0.1116	0.44834	1.8115	1.5862	0.25455	--	0.05566	4.6563	0.19611	0.17134	0.19629	0.11107	0.30343	0.09845	0.57445	8.12857	0.08819	0.06254	0.04754	0.29203	1.20063	0.90017	0.09528	--	0.09775	0.68774	1.41563	0.10411	0.37906	0.32564	0.4392	4.66479	0.23967	0.21465	8.49517	0.18152	0.9493	0.12054	0.1672	1.58091	0.04503	1.05584	0.44277	1.40498	1.60132	0.18328	12.00876	14.75114	0.1072	0.05822	15.39975	0.13058	0.05535	1.83414	3.04562	1.40772	5.30699	8.95101	NA	5.81715	0.61123	0.64859	7.22291	0.29653	7.18485	4.37471	0.05485	2.89421	3.04332	0.44369	4.97761	17.0797	0.04076	8.84764	7.49993	1.575	0.48259	0.6904	0.48529	0.72386	15.03407	0.46856	0.31784	4.52782	0.87293	--	0.50435	0.77343	0.89972	0.24341	NA	4.03543
1987	15.74054	12.47242	16.76957	NA	3.46567	35.66011	19.68721	2.02985	NA	6.07718	3.48172	1.82385	11.40621	4.71686	1.18354	0.60564	1.53229	4.94654	1.63557	1.37289	0.82795	3.36934	0.60391	1.21366	1.4244	0.44523	7.99	4.336	0.75576	3.01355	0.39699	1.38875	0.20154	0.3911	2.24465	2.37399	2.27113	55.95672	0.62408	5.19601	0.50067	1.21315	6.9941	1.33366	0.99411	0.40561	3.01218	13.85884	NA	1.30561	5.90215	78.68376	3.12575	8.48301	2.86533	7.2522	12.14333	--	10.71813	--	5.71907	--	12.53684	NA	10.32539	13.64745	--	6.60923	6.37091	--	19.23879	11.53449	49.26578	6.98984	7.2473	8.31901	6.90095	6.90423	24.68531	--	5.18046	--	13.68419	8.23842	11.6814	3.28616	8.48836	--	--	--	5.17792	7.60477	6.38847	2.06045	10.61697	13.15597	--	--	--	--	13.15597	--	--	--	--	--	--	--	--	--	--	--	5.2984	32.41089	3.32831	3.22163	7.25468	3.53364	17.90471	2.20293	5.54239	--	36.57401	13.07501	2.46161	46.54794	0.88232	1.16741	3.31898	0.59056	0.0875	1.66178	0.06827	0.03049	0.73799	0.17639	0.07888	0.04401	0.12733	0.49124	0.09763	0.48059	1.78499	1.60249	0.23424	--	0.06117	4.39604	0.219	0.19217	0.20288	0.20346	0.25911	0.09666	0.42835	8.12638	0.1192	0.05442	0.05464	0.39578	0.96914	0.86485	0.09144	--	0.10744	0.6787	1.54967	0.10256	0.96577	0.31889	0.43657	4.91586	0.25165	0.15404	8.46814	0.17203	0.94289	0.10433	0.14732	1.41017	0.03628	1.04887	0.41321	1.5996	1.64824	0.30347	11.74253	15.55015	0.11528	0.1393	22.35027	0.12588	0.05374	1.92258	3.04075	1.08256	5.32354	6.0881	--	6.46619	0.61543	0.67722	7.29294	0.33634	6.76965	4.46135	0.0531	3.1006	2.78319	0.42616	5.09671	16.70073	0.04693	9.36625	7.48376	1.575	0.51603	0.74574	0.55686	0.7228	16.47079	0.51769	0.35746	4.63938	0.97354	--	0.73799	0.73894	0.83775	0.27032	NA	4.07694
1988	16.26553	13.55089	17.77489	NA	3.38525	37.09328	20.40789	2.01846	NA	6.13858	3.47855	7.07877	10.28607	4.46331	0.83188	0.66483	1.51815	10.85429	1.88607	1.48511	0.9453	3.4057	0.77771	1.25825	1.4954	0.46911	15.855	4.67418	0.82144	3.27501	0.41271	1.37436	0.21854	0.43389	2.62096	2.82748	2.58364	50.7888	0.61597	4.9111	0.43518	1.1958	6.21873	1.56668	1.23805	0.4838	2.8674	13.89637	NA	1.5377	5.66218	52.0905	3.23161	8.3333	2.91952	6.93313	11.8396	--	10.27826	--	5.62992	--	11.53559	NA	9.95085	13.19904	--	6.67258	6.07266	--	19.19635	11.36892	62.63929	7.49263	6.93243	8.49819	6.66262	6.99541	25.71291	--	5.88233	--	13.80951	8.08368	11.35167	3.42949	8.36881	--	--	--	5.17657	7.26282	6.32471	1.9034	10.45727	13.36363	--	--	--	--	13.36363	--	--	--	--	--	--	--	--	--	--	--	5.38609	26.92965	3.3355	3.52045	7.69266	3.17777	19.47506	1.96403	4.84142	--	35.80892	13.1456	2.4482	48.20239	0.88241	1.16506	3.37456	0.60301	0.10627	1.71476	0.06557	0.04619	0.31078	0.25038	0.08222	0.02892	0.13169	0.37233	0.11571	0.49061	1.71382	1.56858	0.22369	--	0.05652	4.63363	0.2183	0.21512	0.202	0.22244	0.27419	0.0627	0.47201	8.8884	0.12715	0.04767	0.02641	0.47982	1.37128	0.87571	0.13411	--	0.13769	0.69494	1.87444	0.0943	0.95932	0.31224	0.36436	6.69181	0.25888	0.15514	8.38113	0.18317	0.91014	0.10673	0.15003	1.49965	0.05277	1.02558	0.44076	1.56571	1.7366	0.49963	11.1283	15.01342	0.12321	0.13839	19.37898	0.11717	0.05378	2.01315	3.00017	1.1217	5.1432	6.2487	--	7.08647	0.64768	0.71178	7.82761	0.32693	8.32144	4.94412	0.05093	2.99323	2.76311	0.44098	5.12854	16.34396	0.04523	8.89956	8.2235	1.575	0.5197	0.68013	0.57439	0.72111	17.0798	0.53862	0.30925	5.31718	1.09879	--	0.86895	0.9528	0.96033	0.23185	NA	4.1402
1989	16.37033	16.40115	17.99047	NA	3.48789	42.10051	20.54117	2.03213	NA	6.27562	3.45419	9.1781	11.63528	4.78147	1.17308	0.74719	1.52541	10.76435	2.29485	1.46691	0.97833	3.48519	0.83132	1.17417	1.38615	0.44307	14.16619	5.24267	0.85453	3.51175	0.4102	0.90708	0.18769	0.50963	3.02048	3.94686	2.61347	52.38209	0.59588	4.74845	0.56604	1.01238	5.83489	1.57739	1.22879	0.71185	3.03737	13.9683	NA	1.58183	5.73017	76.88018	3.32775	8.38725	2.56758	6.93096	12.42917	--	9.50483	--	6.71444	--	11.52023	NA	10.41799	12.98298	--	6.66431	6.45421	--	18.59681	10.9197	52.92477	7.78736	6.8604	8.95286	6.91897	7.26732	27.18367	--	6.36191	--	13.6816	8.5207	10.87123	4.33402	8.6137	--	--	--	5.65078	6.81632	6.19084	2.16289	10.64946	13.05513	--	--	--	--	13.05513	--	--	--	--	--	--	--	--	--	--	--	5.45642	26.92572	3.49269	3.65617	7.7799	3.11396	20.94371	1.48185	6.01183	--	35.70131	12.56388	2.56114	47.58143	0.90502	1.14127	3.21866	0.58068	0.11023	1.89527	0.05859	0.04941	0.56628	0.26985	0.07576	0.02902	0.12817	0.41123	0.1042	0.47131	3.87892	1.59582	0.32674	--	0.05947	6.21898	0.20693	0.24047	0.19105	0.22704	0.29034	0.09333	0.40192	9.26886	0.08726	0.05456	0.05768	0.56504	1.61863	0.92402	0.1065	--	0.14057	0.81402	1.97492	0.09954	0.95193	0.30567	0.3663	7.01969	0.25982	0.16282	7.63138	0.17018	0.89912	0.10295	0.16452	1.62129	0.04698	0.98732	0.38972	1.43938	1.75787	0.47876	12.24157	15.67751	0.13195	0.12986	21.35826	0.12016	0.05173	2.01227	2.61112	1.3135	4.96102	5.66314	--	7.31481	0.67315	0.78152	8.03662	0.3179	6.55476	5.17107	0.05507	3.11302	3.00909	0.42374	4.65925	16.00292	0.04396	9.85963	8.15195	1.57345	0.53792	0.67767	0.62995	0.75771	18.03828	0.54928	0.27994	5.80294	1.28502	--	0.94241	1.39956	0.82671	0.25281	NA	4.12919
