	North America	Bermuda	Canada	Greenland	Mexico	Saint Pierre and Miquelon	United States	Central & South America	Antarctica	Antigua and Barbuda	Argentina	Aruba	Bahamas, The	Barbados	Belize	Bolivia	Brazil	Cayman Islands	Chile	Colombia	Costa Rica	Cuba	Dominica	Dominican Republic	Ecuador	El Salvador	Falkland Islands (Islas Malvinas)	French Guiana	Grenada	Guadeloupe	Guatemala	Guyana	Haiti	Honduras	Jamaica	Martinique	Montserrat	Netherlands Antilles	Nicaragua	Panama	Paraguay	Peru	Puerto Rico	Saint Kitts and Nevis	Saint Lucia	Saint Vincent/Grenadines	Suriname	Trinidad and Tobago	Turks and Caicos Islands	Uruguay	Venezuela	Virgin Islands,  U.S.	Virgin Islands, British	Europe	Albania	Austria	Belgium	Bosnia and Herzegovina	Bulgaria	Croatia	Cyprus	Czech Republic	Denmark	Faroe Islands	Finland	Former Czechoslovakia	Former Serbia and Montenegro	Former Yugoslavia	France	Germany	Germany, East	Germany, West	Gibraltar	Greece	Hungary	Iceland	Ireland	Italy	Luxembourg	Macedonia	Malta	Montenegro	Netherlands	Norway	Poland	Portugal	Romania	Serbia	Slovakia	Slovenia	Spain	Sweden	Switzerland	Turkey	United Kingdom	Eurasia	Armenia	Azerbaijan	Belarus	Estonia	Former U.S.S.R.	Georgia	Kazakhstan	Kyrgyzstan	Latvia	Lithuania	Moldova	Russia	Tajikistan	Turkmenistan	Ukraine	Uzbekistan	Middle East	Bahrain	Iran	Iraq	Israel	Jordan	Kuwait	Lebanon	Oman	Palestine	Qatar	Saudi Arabia	Syria	United Arab Emirates	Yemen	Africa	Algeria	Angola	Benin	Botswana	Burkina Faso	Burundi	Cameroon	Cape Verde	Central African Republic	Chad	Comoros	Congo (Brazzaville)	Congo (Kinshasa)	Cote dIvoire (IvoryCoast)	Djibouti	Egypt	Equatorial Guinea	Eritrea	Ethiopia	Gabon	Gambia, The	Ghana	Guinea	Guinea-Bissau	Kenya	Lesotho	Liberia	Libya	Madagascar	Malawi	Mali	Mauritania	Mauritius	Morocco	Mozambique	Namibia	Niger	Nigeria	Reunion	Rwanda	Saint Helena	Sao Tome and Principe	Senegal	Seychelles	Sierra Leone	Somalia	South Africa	Sudan and South Sudan	Swaziland	Tanzania	Togo	Tunisia	Uganda	Western Sahara	Zambia	Zimbabwe	Asia & Oceania	Afghanistan	American Samoa	Australia	Bangladesh	Bhutan	Brunei	Burma (Myanmar)	Cambodia	China	Cook Islands	Fiji	French Polynesia	Guam	Hawaiian Trade Zone	Hong Kong	India	Indonesia	Japan	Kiribati	Korea, North	Korea, South	Laos	Macau	Malaysia	Maldives	Mongolia	Nauru	Nepal	New Caledonia	New Zealand	Niue	Pakistan	Papua New Guinea	Philippines	Samoa	Singapore	Solomon Islands	Sri Lanka	Taiwan	Thailand	Timor-Leste (East Timor)	Tonga	U.S. Pacific Islands	Vanuatu	Vietnam	Wake Island	World
1980	5475.28606	0.5307	457.44874	NA	240.33395	0.1471	4776.82557	627.36562	0.14064	0.40738	92.83647	--	3.99007	0.96807	0.2255	4.4629	185.66367	0.0978	23.85294	39.65804	2.26757	29.94117	0.02679	5.43528	12.78431	1.9921	0.01168	0.34991	0.04574	0.48529	4.15611	1.42148	0.84969	1.69779	7.78939	0.63457	0.01688	15.98684	1.84261	5.39492	1.386	21.82999	28.87834	0.05054	0.11181	0.03793	2.09187	10.55811	NA	5.76053	94.26527	16.93945	0.02217	4680.33372	8.85858	55.84111	135.69422	--	88.55607	--	2.82934	--	64.96699	NA	55.34032	208.62084	--	105.93278	488.91734	--	296.78964	759.25387	0.48881	51.97103	83.74782	1.64828	21.43849	371.78882	11.64185	--	1.25892	--	201.09722	33.56954	428.9461	23.5631	170.89883	--	--	--	194.99611	82.29665	47.21855	68.59411	613.56839	3081.87018	--	--	--	--	3081.87018	--	--	--	--	--	--	--	--	--	--	--	490.73071	7.75915	116.82839	51.66929	23.49582	5.20715	31.41165	6.43733	3.96	--	13.86339	176.92239	16.43024	30.31169	6.43422	537.12488	66.9787	3.38912	0.42067	1.24836	0.41825	0.0981	2.22945	0.29932	0.13937	0.27621	0.04142	0.72072	3.39842	4.01485	1.45833	40.91547	0.05549	--	1.70001	4.78154	0.1523	2.2309	0.81493	0.08321	5.75138	0.14593	1.88712	32.44297	1.1684	0.57585	0.41802	0.60773	0.85421	16.43155	2.62131	--	0.61027	69.13846	0.60027	0.15247	NA	0.0321	2.48792	0.21036	0.711	1.11837	235.02573	3.16308	0.72976	1.91743	0.58233	8.47987	0.70227	0.15699	3.63004	8.90654	3541.46924	1.36105	0.40232	198.83496	7.63726	0.00546	5.2355	4.01276	0.04096	1448.46396	0.02812	1.30563	0.2109	3.54373	6.34246	18.17024	291.22527	85.79833	947.01434	0.02235	110.5128	131.73553	0.41487	0.46886	26.33026	0.01406	7.103	0.12621	0.47668	1.72019	20.04018	0.00281	33.67436	1.71931	33.86376	0.0929	29.4139	0.09768	4.87856	70.63707	33.56324	--	0.02911	0.14736	0.11663	13.39865	1.23566	18434.18042
1981	5356.33653	0.45967	442.08622	NA	266.51208	0.14746	4647.1311	620.20522	0.14025	0.3631	90.17526	--	4.26559	1.02751	0.20645	4.65224	175.21839	0.10546	23.1508	40.97204	2.26251	30.50222	0.03498	5.22474	13.43936	1.7285	0.01151	0.30226	0.05254	0.68799	3.61168	1.63947	0.56629	1.51065	6.69594	0.63173	0.01937	14.79227	1.90905	5.23984	1.27438	22.77469	31.03023	0.05339	0.08778	0.03498	1.80674	10.10466	NA	5.19486	101.53149	15.13705	0.03498	4507.98461	8.86997	54.492	138.05175	--	86.44006	--	2.43902	--	60.30973	NA	52.09231	207.2675	--	115.2383	443.72934	--	296.97058	720.63427	0.54815	52.56972	82.86481	1.55597	20.63257	365.7396	10.04865	--	1.37629	--	193.2739	31.15674	386.60833	21.09055	173.61565	--	--	--	205.23057	72.84509	39.84835	63.11985	599.325	3110.54298	--	--	--	--	3110.54298	--	--	--	--	--	--	--	--	--	--	--	467.89102	8.83596	108.10299	37.76243	24.85765	6.16414	23.59753	5.97684	4.15887	--	14.02666	175.21746	17.53151	35.10691	6.55207	536.43682	54.69104	3.38012	0.41632	1.26764	0.41825	0.11161	2.29109	0.29851	0.18141	0.26304	0.04134	0.87183	3.58975	4.25006	1.17312	48.91784	0.05537	--	1.70227	4.98535	0.15203	1.94909	0.79988	0.08304	5.78513	0.13646	1.73545	26.66898	1.01081	0.61328	0.55944	0.58278	0.76796	16.08782	2.3375	--	0.63499	58.81591	0.59653	0.35137	0.00277	0.03206	2.40879	0.1695	0.7102	1.29339	254.69735	3.24075	0.68465	2.21505	0.53935	9.33265	0.4453	0.15726	3.22424	8.7091	3599.40417	1.5647	0.46106	204.61733	8.31733	0.02601	5.57339	4.11705	0.04094	1439.85965	0.05604	0.88466	0.31112	5.00254	7.33791	18.82631	337.77611	91.92724	945.00641	0.02651	114.44618	137.90447	0.16498	0.44022	27.49148	0.01388	6.34679	0.12746	0.38104	1.63137	19.57843	0.00281	36.36111	1.71524	32.14625	0.09943	30.89084	0.13931	4.88493	63.97477	34.39728	--	0.04286	0.14706	0.10217	13.00855	1.23297	18198.80136
1982	5117.32445	0.48832	423.27299	NA	282.14251	0.13447	4411.28616	612.19156	0.14626	0.48629	96.45015	--	3.61972	1.02151	0.19291	4.07695	172.75154	0.1055	19.59177	41.76567	2.11982	33.0496	0.03502	5.58116	14.57806	1.65117	0.01151	0.38439	0.05828	0.87326	3.53147	1.3226	0.80351	1.53508	5.65662	0.62826	0.01937	14.16683	1.91126	4.73327	1.24988	26.14034	22.6923	0.0616	0.10585	0.03796	1.60646	9.87596	NA	4.92066	101.60683	11.00023	0.03468	4423.61586	8.82775	51.07094	129.16249	--	89.37929	--	2.60235	--	55.43762	NA	46.86731	206.44503	--	118.28644	423.31164	--	299.95974	696.59768	0.48793	51.13884	82.33722	1.55599	20.17114	355.30603	9.41381	--	1.49646	--	181.6551	28.69654	390.16947	27.43374	179.43212	--	--	--	220.93822	63.24764	36.98134	73.26706	571.93893	3224.41572	--	--	--	--	3224.41572	--	--	--	--	--	--	--	--	--	--	--	487.76149	9.36404	133.65669	36.79524	26.03603	7.04057	23.10939	5.88534	5.04018	--	14.14713	165.56913	17.7009	35.71641	7.70043	570.33829	65.99867	3.58703	0.27793	1.2035	0.41933	0.09812	2.66908	0.13298	0.19449	0.26311	0.04134	0.72836	3.68559	3.93187	1.17717	54.66073	0.0694	--	1.8908	4.86144	0.15203	2.22618	0.81305	0.08409	5.66614	0.14693	1.73958	27.79292	0.87836	0.5501	0.4185	0.58522	0.73824	16.76215	2.48022	--	0.67615	56.18683	0.64333	0.33703	0.00277	0.03208	2.45888	0.15495	0.77839	1.26882	272.93734	3.54237	0.68465	2.17542	0.52161	8.74043	0.52984	0.17523	3.39277	8.17476	3657.11289	1.69949	0.63732	207.95607	8.92728	0.03232	5.83571	4.54403	0.04094	1506.94235	0.05513	1.02168	0.41742	3.84191	6.7551	21.37562	349.74444	92.44252	899.7924	0.02656	120.27433	138.94838	0.15157	0.46877	28.97487	0.01384	7.52144	0.12746	0.5283	1.15292	20.69341	0.00281	42.41566	1.71524	31.89941	0.10769	32.68624	0.12583	5.06724	63.30952	33.1427	--	0.04005	0.14693	0.10263	14.17419	1.23316	18092.76026
1983	5060.30112	0.51577	410.64391	NA	260.786	0.14806	4388.20737	594.57659	0.14025	0.28797	98.21476	--	2.71191	1.07832	0.19482	4.49	163.79696	0.10254	19.89573	42.93036	2.25348	30.17521	0.03498	6.74508	12.91322	1.82891	0.01151	0.39059	0.05632	0.91835	3.66336	1.17089	0.71518	1.63712	6.01202	0.62036	0.01937	13.13497	1.8196	5.01632	1.31962	24.02237	22.08202	0.05047	0.09704	0.03791	1.16512	15.05785	NA	3.8934	96.09456	7.74079	0.03498	4398.65488	9.08935	51.06348	114.29496	--	89.45973	--	2.8764	--	51.48153	NA	44.22106	208.44017	--	123.66343	408.54201	--	295.36527	696.99343	0.38556	54.46542	80.91016	1.61849	19.67876	346.33531	8.84093	--	1.10541	--	174.04929	29.43985	391.10386	28.04033	186.25762	--	--	--	225.59261	59.38157	39.82176	78.49025	577.64691	3287.41978	--	--	--	--	3287.41978	--	--	--	--	--	--	--	--	--	--	--	530.92717	10.72794	155.97805	42.74375	27.25195	7.55649	25.49811	6.17139	5.78515	--	12.82985	166.31922	20.33739	42.69793	7.02996	595.38781	71.58791	3.85161	0.42118	1.14529	0.42186	0.11215	7.19977	0.13078	0.20911	0.26304	0.04134	0.60515	3.64691	4.24535	0.87288	63.99692	0.06999	--	2.16597	4.77952	0.15203	1.99234	0.82029	0.08402	5.50029	0.14623	1.74248	27.45571	1.14481	0.43959	0.41573	0.58089	0.84474	17.39119	2.32675	--	0.75362	55.56494	0.74879	0.38862	0.00277	0.03206	2.34991	0.27069	0.71461	1.24	276.58362	3.39839	0.5305	1.91949	0.56708	10.01801	0.51581	0.16945	3.02931	9.78631	3774.41664	2.10583	0.40022	218.25929	8.10222	0.02976	4.86471	5.24231	0.35767	1593.38617	0.05551	1.0185	0.55477	3.6691	6.4471	24.94874	367.40136	94.21754	867.13384	0.02673	125.7373	148.48953	0.16376	0.66071	35.75997	0.01392	7.79701	0.12746	0.53048	1.06488	21.38981	0.00281	41.57043	1.71524	30.9747	0.10769	32.48649	0.13951	5.17624	70.88079	35.55033	--	0.04286	0.14692	0.09951	14.33387	1.23305	18241.68398
1984	5331.94706	0.50344	433.61916	NA	279.13982	0.14387	4618.54077	621.15116	0.18242	0.32287	103.81951	--	2.45503	1.03956	0.21137	4.25214	180.86806	0.10581	20.65083	45.64042	1.97356	31.31601	0.03501	5.91215	12.80618	1.84834	0.01154	0.31189	0.05836	1.01304	3.21584	1.3369	0.72799	1.66445	5.0075	0.55208	0.0194	12.44417	1.73757	4.89827	1.44077	22.80993	24.37495	0.05054	0.09722	0.03501	0.97745	16.05409	NA	3.69454	96.14236	9.00394	0.0321	4452.75425	9.23048	54.36084	118.77065	--	90.35617	--	2.97848	--	54.4838	NA	42.79488	213.88443	--	143.61152	394.76542	--	310.83192	711.00228	0.35719	55.85461	81.61157	1.69056	19.10573	350.66637	9.75479	--	1.58421	--	183.91007	30.69358	408.79053	27.06227	180.8792	--	--	--	210.62026	57.26915	39.67316	82.00407	564.15606	3421.9366	--	--	--	--	3421.9366	--	--	--	--	--	--	--	--	--	--	--	557.16599	9.57391	151.03659	42.8556	27.52108	7.83853	26.49263	5.89202	7.72769	--	15.43449	184.01317	22.33814	47.56111	8.88103	626.26608	74.94458	3.41319	0.41568	1.16626	0.42093	0.14058	7.0971	0.15847	0.1983	0.12383	0.04204	0.61399	3.40625	4.13548	0.72452	69.96757	0.06975	--	2.11382	5.24873	0.16782	2.27369	0.83099	0.11447	5.38964	0.14593	1.57103	26.2432	1.13555	0.41997	0.41694	0.87283	0.87099	16.61986	2.04765	--	0.80566	58.7558	0.82813	0.63398	0.00278	0.0321	2.79618	0.28355	0.71249	1.2862	296.46704	3.12029	0.58837	2.10146	0.66808	10.69741	0.53077	0.17583	3.00691	9.25142	4094.74369	2.12793	0.46088	235.42329	9.33892	0.02618	4.43341	5.71341	0.39884	1724.48938	0.05542	0.75558	0.83887	1.26899	7.65868	26.62235	421.91298	98.04478	935.73631	0.0195	129.52508	163.61681	0.15196	0.72803	41.80845	0.05624	7.93336	0.13214	0.67698	1.2307	22.78427	0.00281	42.47693	1.95084	28.54539	0.14027	34.44295	0.1407	5.72551	81.5391	39.44479	--	0.04298	0.13915	0.10275	14.8361	1.24368	19105.96484
1985	5329.60316	0.4955	443.67063	NA	280.69545	0.12674	4604.61484	624.6255	0.20066	0.30874	97.45315	--	2.22598	1.14641	0.21131	3.78484	192.66065	0.10871	20.51285	45.25294	2.08542	31.993	0.03991	6.62825	13.5287	1.93666	0.01442	0.31388	0.05954	0.9263	3.62142	1.35217	0.83529	1.57046	4.49533	0.67268	0.02098	10.41308	1.97241	3.60891	1.45881	22.82534	21.07029	0.05041	0.12107	0.0398	1.24483	17.85539	NA	3.45021	96.40039	10.12116	0.03275	4553.81946	9.30827	55.06999	119.24203	--	92.52152	--	3.20664	--	63.36825	NA	46.80263	210.99529	--	150.21624	396.75921	--	326.08481	688.14703	0.82151	60.62155	82.46794	1.84498	20.01602	365.73914	9.77903	--	1.37463	--	191.19309	33.92082	422.0431	29.20791	182.73587	--	--	--	205.04369	61.85325	41.06636	93.10756	589.26109	3535.69483	--	--	--	--	3535.69483	--	--	--	--	--	--	--	--	--	--	--	579.18014	11.36319	159.93616	47.588	26.51806	8.10476	25.67314	6.86421	7.3719	--	13.8269	179.21683	23.49956	59.30779	9.90965	640.93365	71.31377	4.28732	0.49576	1.50091	0.40284	0.14558	6.59122	0.15688	0.1999	0.1533	0.03554	0.91379	3.32152	4.27728	0.71858	75.60233	0.07977	--	2.53316	5.34463	0.16475	1.90743	0.73601	0.12428	5.47669	0.14914	1.58018	27.67952	1.23678	0.45389	0.45851	0.86309	0.88927	17.42319	2.16563	--	0.80953	61.0036	0.8052	0.66768	0.00287	0.03313	2.7545	0.28928	0.79932	1.26685	302.04645	3.50139	0.72741	2.12646	0.6269	10.82769	0.57029	0.17993	2.86444	9.64826	4277.97575	2.17438	0.43178	237.70251	9.83248	0.03336	4.99913	5.98213	0.41298	1857.80788	0.05539	0.77663	0.72763	0.63093	7.37628	28.33023	447.38316	101.35491	926.24682	0.01952	135.43745	172.32428	0.17156	0.58663	44.52485	0.06245	8.85744	0.13081	0.54549	1.28252	23.07399	0.00287	46.60734	2.05479	27.09716	0.11087	33.44138	0.1223	4.80865	81.59389	44.55418	--	0.04468	0.12584	0.11115	16.80411	1.22093	19541.83248
1986	5308.47971	0.50418	427.81623	NA	267.49163	0.17244	4612.49524	670.38952	0.19826	0.32274	103.52606	0.10793	2.41417	1.29527	0.263	3.84292	212.67353	0.11004	19.22896	45.1298	1.99355	34.97136	0.04022	6.86647	14.77932	2.18682	0.01598	0.38459	0.06935	0.93736	3.22797	1.3968	0.81484	1.7311	4.86304	0.75959	0.02204	10.09542	2.09757	11.27109	1.52199	25.4726	22.96817	0.05351	0.12372	0.03975	1.31957	16.78243	NA	3.45059	104.32791	6.65437	0.03777	4594.93976	9.31318	53.83859	120.68335	--	96.91389	--	3.56584	--	64.84358	NA	50.34772	207.41143	--	148.08891	362.82371	--	318.76489	718.5922	1.43557	63.69114	77.27753	1.96153	23.68927	371.48727	9.71638	--	1.61858	--	195.32762	36.46863	427.77707	31.39801	187.83286	--	--	--	199.23736	65.68654	44.20575	105.69828	595.24309	3667.94575	--	--	--	--	3667.94575	--	--	--	--	--	--	--	--	--	--	--	621.69687	12.24757	165.4014	56.12028	28.04965	9.0477	29.61867	6.94561	8.80586	--	14.28084	190.08573	24.01695	67.08497	9.99164	666.78664	71.74532	4.5947	0.50243	1.63144	0.49316	0.15058	9.38709	0.05311	0.2067	0.27781	0.03775	0.81482	3.83648	4.80268	0.71827	81.83756	0.08493	--	2.55982	4.00184	0.16057	2.36141	1.05885	0.10062	6.21332	0.1562	1.28125	30.11265	0.91079	0.47583	0.364	0.51504	1.23453	19.91842	1.25227	--	0.68813	59.8968	0.79275	0.64149	0.00315	0.03463	2.87666	0.31645	0.90774	1.44135	308.72918	4.31726	0.71143	2.68616	0.54184	11.93127	0.67142	0.19689	3.07807	12.47173	4411.1717	2.39826	0.48232	234.54928	11.18552	0.03184	3.4608	4.89911	0.44841	1970.82299	0.05374	1.00369	0.95866	1.0999	4.54342	32.13741	473.73862	110.19258	877.5253	0.01891	134.87723	180.29922	0.20633	0.90356	49.03139	0.08191	9.76007	0.14873	0.69296	1.3765	25.03951	0.00315	50.78731	2.2878	28.72238	0.11644	41.34473	0.13219	5.22008	88.54423	45.50545	--	0.04728	0.13229	0.12459	14.95535	1.28026	19941.40996
1987	5493.82871	0.70882	445.22693	NA	277.67817	0.22284	4769.99194	687.48664	0.20455	0.39148	110.10799	0.10793	2.67455	1.22225	0.20872	3.72856	219.15879	0.10918	20.38658	42.6768	2.31773	34.42399	0.04337	8.07931	13.59615	2.15943	0.01598	0.4336	0.07109	1.09392	3.23943	1.06234	1.2878	1.71037	5.22076	0.85701	0.02518	10.38926	2.08776	11.72603	1.92753	24.60312	24.09096	0.05665	0.13339	0.04279	1.16458	16.97692	NA	3.98079	105.70867	7.93927	0.04407	4643.72035	8.81182	54.9637	119.85708	--	96.16265	--	4.0126	--	64.27669	NA	50.92202	211.6845	--	150.05823	355.40599	--	319.90838	704.64219	1.45472	69.72011	76.91374	2.03546	24.42866	391.83364	9.17454	--	1.80822	--	200.68248	34.48726	440.86436	32.58319	192.56999	--	--	--	201.32119	64.0428	42.65892	109.704	606.73121	3718.86495	--	--	--	--	3718.86495	--	--	--	--	--	--	--	--	--	--	--	647.26797	14.7374	174.20459	53.29607	30.54496	9.97863	33.86748	7.22116	8.93252	--	14.51794	191.15337	27.67578	71.23901	9.89907	681.84012	77.18264	4.65264	0.3752	1.91439	0.51828	0.15684	8.01977	0.05748	0.22408	0.23728	0.05033	1.0144	3.46428	5.33713	0.73088	83.93033	0.08022	--	2.88884	3.87254	0.18586	2.72376	1.1216	0.18869	5.49194	0.15618	0.98596	30.92202	1.26796	0.43826	0.42697	0.71453	1.00429	19.55487	1.17905	--	0.77528	60.67899	0.88331	0.65359	0.00632	0.03463	2.93718	0.33654	0.97529	1.06887	315.23488	4.17691	0.73318	2.40134	0.49441	10.89784	0.56313	0.20332	2.97288	14.74272	4620.17355	3.945	0.49173	250.92843	12.26322	0.07866	5.1812	4.8198	0.45159	2102.77955	0.05373	0.77909	0.9893	0.76542	--	36.11053	486.58518	117.16868	890.40412	0.02206	129.08061	185.69014	0.20546	1.00144	46.14219	0.08191	10.27055	0.14872	0.81899	1.48673	25.07428	0.00315	56.03242	2.53661	33.77237	0.11644	46.02848	0.15093	5.9564	91.66399	51.51013	--	0.06937	0.13229	0.11919	16.98346	1.28001	20493.18229
1988	5745.62096	0.77465	478.05217	NA	276.85223	0.23302	4989.70889	697.45579	0.21084	0.39549	111.65903	0.42118	2.44508	1.16025	0.1509	4.17724	221.45606	0.26593	23.91289	47.18324	2.71692	35.09755	0.05548	8.55454	14.64614	2.31694	0.03171	0.51416	0.07745	1.20193	3.50631	1.05352	1.42459	1.959	6.10535	1.03203	0.02834	9.48166	2.11591	11.30376	1.72482	24.76576	21.61003	0.0661	0.16775	0.05135	1.11417	17.20899	NA	4.7169	104.06262	5.25864	0.04723	4583.29222	9.15808	52.69033	117.02259	--	92.31958	--	4.01428	--	59.17197	NA	49.2232	205.0735	--	152.25579	340.33316	--	318.86238	698.27926	1.88087	74.79683	72.39188	2.12357	23.51638	397.03921	9.65838	--	2.07029	--	203.84685	34.022	429.85184	34.02261	190.54869	--	--	--	202.16512	61.51127	42.57752	103.46051	599.40427	3808.24644	--	--	--	--	3808.24644	--	--	--	--	--	--	--	--	--	--	--	680.63727	12.64625	180.71147	59.99045	32.94029	9.28156	38.42819	6.53587	8.08884	--	14.80559	200.24858	28.51178	78.22029	10.22811	698.08648	80.58709	4.83821	0.46995	2.03875	0.51364	0.24382	3.48107	0.08275	0.23986	0.16067	0.05347	0.79309	4.23813	5.64772	0.71491	83.38915	0.07866	--	2.75104	4.16908	0.1922	3.13514	1.14468	0.21122	6.00906	0.10313	1.12146	34.83348	1.39321	0.40936	0.21064	0.88694	1.43291	20.21717	1.6795	--	1.01877	63.76769	1.06843	0.62214	0.00632	0.03464	2.51864	0.46304	1.02718	1.07331	319.55336	4.51931	0.74175	2.53627	0.52136	11.84509	0.85369	0.20658	3.26952	14.96825	4957.30746	6.542	0.48545	246.23108	13.35247	0.08066	4.62921	4.57254	0.46875	2240.36797	0.05373	0.81477	0.98322	0.79699	--	39.88552	522.27784	125.39045	959.76686	0.02206	161.19581	207.80651	0.20268	0.99416	47.12512	0.08823	10.61978	0.14873	0.81054	1.44121	27.6253	0.00315	58.21763	2.37511	35.65862	0.11647	49.00648	0.16222	5.22732	106.21655	58.98676	--	0.08109	0.17952	0.14032	14.8871	1.26948	21170.64663
1989	5854.50555	0.94282	492.56658	NA	290.77437	0.26553	5069.95626	715.91127	0.2077	0.40406	112.50867	0.55699	2.80694	1.2484	0.2187	4.79929	226.76497	0.26988	29.60889	47.61717	2.88597	36.27356	0.05862	8.15095	13.92833	2.22631	0.02833	0.57669	0.08059	1.33446	3.5813	0.69718	1.24867	2.37283	7.05784	1.45639	0.02835	9.8284	2.1046	11.14557	2.30977	21.41245	20.4548	0.06612	0.16773	0.07599	1.19232	17.4347	NA	4.88452	108.01782	7.76805	0.05039	4640.63897	8.20548	52.86837	123.5173	--	85.44897	--	4.88048	--	59.12864	NA	51.69867	202.00222	--	152.77264	365.19685	--	309.72833	676.91205	1.60987	78.11323	71.33415	2.2628	24.30773	412.49844	10.26513	--	2.26053	--	203.15673	36.0097	412.7822	43.00707	196.84135	--	--	--	221.59279	58.11785	42.04648	119.95931	612.11361	3739.08638	--	--	--	--	3739.08638	--	--	--	--	--	--	--	--	--	--	--	712.31953	13.05728	195.33471	64.24812	33.88413	9.41507	43.07767	5.00048	10.41119	--	15.35724	198.87821	30.86927	81.93822	10.84793	701.59138	78.84531	4.73478	0.50276	2.32458	0.47407	0.26705	6.53495	0.09044	0.22726	0.16584	0.05349	0.90354	3.93917	5.62304	1.71621	86.09176	0.11801	--	2.98107	5.71421	0.18913	3.60284	1.10994	0.22077	6.57189	0.15623	0.9859	37.38087	0.98504	0.49597	0.47046	1.06557	1.70506	21.76047	1.32928	--	1.06937	76.64811	1.1652	0.67854	0.00632	0.03466	2.61076	0.49148	1.05596	1.10171	297.98976	4.28728	0.76362	2.52062	0.59179	13.0622	0.79082	0.20661	2.97548	14.2041	5107.42756	6.41877	0.55557	261.51021	14.55609	0.07786	5.25099	4.77442	0.46759	2275.33804	0.04739	0.96284	0.97503	0.74157	--	41.40708	553.47695	140.15789	989.36875	0.02206	129.04944	219.50688	0.22543	1.06228	52.57481	0.08822	10.06676	0.14875	0.80937	1.62802	27.51726	0.00315	62.08641	2.43005	40.03625	0.12283	53.35277	0.17085	4.79884	117.26322	69.96381	--	0.08744	0.27963	0.12401	16.65251	1.26947	21471.48064
