	North America	Bermuda	Canada	Greenland	Mexico	Saint Pierre and Miquelon	United States	Central & South America	Antarctica	Antigua and Barbuda	Argentina	Aruba	Bahamas, The	Barbados	Belize	Bolivia	Brazil	Cayman Islands	Chile	Colombia	Costa Rica	Cuba	Dominica	Dominican Republic	Ecuador	El Salvador	Falkland Islands (Islas Malvinas)	French Guiana	Grenada	Guadeloupe	Guatemala	Guyana	Haiti	Honduras	Jamaica	Martinique	Montserrat	Netherlands Antilles	Nicaragua	Panama	Paraguay	Peru	Puerto Rico	Saint Kitts and Nevis	Saint Lucia	Saint Vincent/Grenadines	Suriname	Trinidad and Tobago	Turks and Caicos Islands	Uruguay	Venezuela	Virgin Islands,  U.S.	Virgin Islands, British	Europe	Albania	Austria	Belgium	Bosnia and Herzegovina	Bulgaria	Croatia	Cyprus	Czech Republic	Denmark	Faroe Islands	Finland	Former Czechoslovakia	Former Serbia and Montenegro	Former Yugoslavia	France	Germany	Germany, East	Germany, West	Gibraltar	Greece	Hungary	Iceland	Ireland	Italy	Luxembourg	Macedonia	Malta	Montenegro	Netherlands	Norway	Poland	Portugal	Romania	Serbia	Slovakia	Slovenia	Spain	Sweden	Switzerland	Turkey	United Kingdom	Eurasia	Armenia	Azerbaijan	Belarus	Estonia	Former U.S.S.R.	Georgia	Kazakhstan	Kyrgyzstan	Latvia	Lithuania	Moldova	Russia	Tajikistan	Turkmenistan	Ukraine	Uzbekistan	Middle East	Bahrain	Iran	Iraq	Israel	Jordan	Kuwait	Lebanon	Oman	Palestine	Qatar	Saudi Arabia	Syria	United Arab Emirates	Yemen	Africa	Algeria	Angola	Benin	Botswana	Burkina Faso	Burundi	Cameroon	Cape Verde	Central African Republic	Chad	Comoros	Congo (Brazzaville)	Congo (Kinshasa)	Cote dIvoire (IvoryCoast)	Djibouti	Egypt	Equatorial Guinea	Eritrea	Ethiopia	Gabon	Gambia, The	Ghana	Guinea	Guinea-Bissau	Kenya	Lesotho	Liberia	Libya	Madagascar	Malawi	Mali	Mauritania	Mauritius	Morocco	Mozambique	Namibia	Niger	Nigeria	Reunion	Rwanda	Saint Helena	Sao Tome and Principe	Senegal	Seychelles	Sierra Leone	Somalia	South Africa	Sudan and South Sudan	Swaziland	Tanzania	Togo	Tunisia	Uganda	Western Sahara	Zambia	Zimbabwe	Asia & Oceania	Afghanistan	American Samoa	Australia	Bangladesh	Bhutan	Brunei	Burma (Myanmar)	Cambodia	China	Cook Islands	Fiji	French Polynesia	Guam	Hawaiian Trade Zone	Hong Kong	India	Indonesia	Japan	Kiribati	Korea, North	Korea, South	Laos	Macau	Malaysia	Maldives	Mongolia	Nauru	Nepal	New Caledonia	New Zealand	Niue	Pakistan	Papua New Guinea	Philippines	Samoa	Singapore	Solomon Islands	Sri Lanka	Taiwan	Thailand	Timor-Leste (East Timor)	Tonga	U.S. Pacific Islands	Vanuatu	Vietnam	Wake Island	World
1980	91.49787	0.00793	9.6947	0.00791	3.71845	0.0022	78.06668	11.53539	0.00213	0.00598	1.64051	--	0.0599	0.01446	0.00371	0.07454	4.02179	0.00144	0.42668	0.69636	0.05545	0.45633	0.00048	0.08726	0.18651	0.04527	0.00017	0.00515	0.00067	0.00707	0.06717	0.02142	0.015	0.03317	0.11805	0.00934	0.00026	0.23781	0.03277	0.18343	0.0279	0.40399	0.42761	0.00075	0.00164	0.00073	0.04058	0.17413	0	0.10936	1.5883	0.24982	0.00032	71.74653	0.15475	1.09577	2.06423	--	1.32139	--	0.04202	--	0.86306	0.00663	0.97218	2.74465	--	1.66547	8.38888	--	3.59379	11.27028	0.00738	0.75171	1.20988	0.05649	0.32304	6.11717	0.14196	--	0.01888	--	3.20502	1.34103	5.06796	0.43149	2.75196	--	--	--	3.04408	2.0745	1.13929	1.04087	8.84074	46.73513	--	--	--	--	46.73513	--	--	--	--	--	--	--	--	--	--	--	5.83749	0.13752	1.58261	0.52402	0.35096	0.07704	0.48089	0.10473	0.06467	--	0.2143	1.66331	0.27405	0.26731	0.09609	6.79632	0.80085	0.05816	0.00659	0.01518	0.00613	0.00159	0.04713	0.00454	0.00274	0.00407	0.00063	0.01194	0.09072	0.07388	0.02205	0.70639	0.00085	--	0.03009	0.02842	0.00224	0.08608	0.01374	0.00123	0.09913	0.00212	0.03184	0.39743	0.01891	0.01192	0.00704	0.0092	0.01366	0.22621	0.17546	--	0.00915	0.42228	0.01195	0.00354	0	0.00054	0.03698	0.00316	0.01057	0.01656	2.72828	0.05224	0.01009	0.03903	0.00961	0.12811	0.01594	0.00236	0.13258	0.15517	48.89995	0.02698	0.00593	2.74282	0.12797	0.00015	0.08202	0.0695	0.00455	17.28743	0.00042	0.01529	0.00312	0.05329	0.09468	0.2724	4.04087	1.16582	15.19765	0.00034	1.32754	1.75836	0.01311	0.00698	0.41839	0.00021	0.08316	0.0019	0.00827	0.02755	0.49761	0.00004	0.63141	0.02903	0.55327	0.00145	0.44171	0.00147	0.0883	1.11685	0.50786	--	0.00043	0.00219	0.00172	0.17136	0.01857	283.04867
1981	89.82128	0.00686	9.58952	0.00746	4.10949	0.00221	76.10575	11.48711	0.00213	0.00531	1.59727	--	0.06326	0.0153	0.00344	0.0834	3.88321	0.00155	0.41949	0.71547	0.0572	0.46398	0.00061	0.08641	0.19313	0.04153	0.00017	0.00443	0.00077	0.0101	0.05719	0.02434	0.01088	0.03085	0.09955	0.00919	0.00028	0.22241	0.03356	0.18621	0.02715	0.43033	0.45014	0.00079	0.0013	0.00069	0.03563	0.16712	0	0.10367	1.72323	0.22395	0.00051	69.5102	0.15461	1.08623	2.05095	--	1.31357	--	0.03622	--	0.74856	0.00051	0.98988	2.72524	--	1.74257	8.06714	--	3.56468	10.76921	0.00827	0.74718	1.20101	0.05619	0.31186	6.00108	0.12659	--	0.02056	--	3.00721	1.38834	4.57704	0.36906	2.7643	--	--	--	3.09005	2.04197	1.05743	0.97646	8.51623	47.22093	--	--	--	--	47.22093	--	--	--	--	--	--	--	--	--	--	--	6.15628	0.15787	1.48862	0.48294	0.36699	0.09157	0.35214	0.09745	0.06873	--	0.202	2.02483	0.28914	0.43622	0.09778	6.99771	0.68005	0.05805	0.00662	0.01542	0.00617	0.0018	0.05217	0.00453	0.00334	0.00389	0.00063	0.01421	0.09277	0.08135	0.0177	0.82834	0.00084	--	0.03056	0.03203	0.00223	0.08299	0.0135	0.00123	0.10191	0.00192	0.02937	0.3575	0.01648	0.01244	0.00907	0.00898	0.01206	0.21636	0.06689	--	0.00951	0.51801	0.01261	0.00645	0.00004	0.00054	0.03586	0.00253	0.01063	0.01929	2.95592	0.05595	0.00962	0.04366	0.00903	0.14107	0.01135	0.00235	0.13411	0.15579	49.7354	0.03036	0.00692	2.82451	0.13932	0.00045	0.08518	0.07165	0.0048	17.19205	0.00084	0.01577	0.00461	0.0745	0.10902	0.28356	4.62703	1.27211	15.12096	0.0004	1.37409	1.82226	0.01129	0.00655	0.43884	0.00021	0.07573	0.00192	0.0076	0.02651	0.49292	0.00004	0.68508	0.02892	0.53651	0.00154	0.46278	0.00208	0.08934	1.07033	0.54449	--	0.00064	0.00218	0.0015	0.16951	0.01852	280.9289
1982	86.64257	0.00727	9.20637	0.00722	4.32049	0.00203	73.09919	11.47884	0.00212	0.00711	1.67291	--	0.0541	0.01527	0.00325	0.07371	3.94323	0.00155	0.37365	0.76684	0.0558	0.50137	0.0006	0.09122	0.21098	0.04156	0.00017	0.00565	0.00085	0.01275	0.05804	0.01956	0.0143	0.0315	0.08658	0.00917	0.00028	0.21486	0.03337	0.17593	0.02639	0.42903	0.33107	0.00091	0.00155	0.00074	0.03487	0.16779	0	0.0985	1.7466	0.16259	0.00051	68.77485	0.15416	1.03457	1.93514	--	1.35888	--	0.03868	--	0.73866	0.00051	0.90641	2.71119	--	1.78375	7.7905	--	3.60263	10.49559	0.00736	0.72815	1.19572	0.05982	0.30854	5.85958	0.12047	--	0.02211	--	2.87289	1.34656	4.58383	0.48664	2.88751	--	--	--	3.33173	1.88243	1.03484	1.12445	8.37158	49.26201	--	--	--	--	49.26201	--	--	--	--	--	--	--	--	--	--	--	6.37354	0.16794	1.70731	0.4624	0.37468	0.10455	0.35013	0.09447	0.08358	--	0.23742	1.96743	0.29523	0.41384	0.11456	7.56437	0.9578	0.0618	0.00469	0.01436	0.00618	0.00159	0.06048	0.002	0.00358	0.00389	0.00063	0.01282	0.09408	0.07638	0.01779	0.92715	0.00106	--	0.03403	0.03022	0.00223	0.08261	0.01372	0.00125	0.10094	0.00212	0.02955	0.3539	0.0152	0.01174	0.00726	0.00909	0.012	0.2182	0.06445	--	0.00999	0.51696	0.01375	0.00646	0.00004	0.00055	0.03666	0.00234	0.01141	0.01893	3.15803	0.06067	0.00926	0.04296	0.00899	0.13426	0.01296	0.00264	0.13764	0.1451	50.42565	0.03234	0.00962	2.89413	0.15025	0.00058	0.09301	0.07937	0.00534	17.93384	0.00082	0.01546	0.00624	0.05799	0.10042	0.31099	4.73881	1.30572	14.57132	0.0004	1.43933	1.83276	0.01159	0.00699	0.45554	0.00021	0.09037	0.00192	0.00974	0.02087	0.50297	0.00004	0.78194	0.02886	0.54076	0.00171	0.49037	0.00189	0.09251	1.0703	0.53202	--	0.00059	0.00218	0.00151	0.18354	0.01852	280.52182
1983	86.22497	0.00771	9.18989	0.00505	4.04957	0.00221	72.97055	11.34359	0.00213	0.00415	1.69301	--	0.04065	0.01613	0.00325	0.07562	3.94192	0.00151	0.37945	0.77864	0.06133	0.45973	0.00067	0.10872	0.19725	0.0424	0.00017	0.00581	0.00083	0.01339	0.063	0.01726	0.01285	0.0329	0.09239	0.00906	0.00028	0.19761	0.03173	0.17807	0.02846	0.40122	0.3207	0.00074	0.00143	0.00074	0.0247	0.18491	0	0.12028	1.6837	0.1143	0.00051	69.12386	0.15878	1.04021	1.84186	--	1.37968	--	0.04296	--	0.69914	0.00052	0.90382	2.73763	--	1.82429	7.91184	--	3.5452	10.49458	0.00581	0.74775	1.20769	0.06287	0.29988	5.75121	0.11458	--	0.01587	--	2.81453	1.47001	4.59384	0.50029	2.94744	--	--	--	3.41925	1.93752	1.08662	1.16247	8.40572	50.41837	--	--	--	--	50.41837	--	--	--	--	--	--	--	--	--	--	--	7.18191	0.17792	2.09302	0.55081	0.36977	0.11201	0.3885	0.09773	0.09677	--	0.22323	2.12312	0.33399	0.5109	0.10413	7.91308	1.07399	0.06667	0.00686	0.014	0.00621	0.00202	0.06024	0.00196	0.00376	0.00389	0.00063	0.01141	0.09741	0.07388	0.01314	1.05147	0.00106	--	0.03878	0.04146	0.00223	0.05537	0.01373	0.00125	0.10042	0.00212	0.02942	0.38078	0.01936	0.01072	0.00741	0.00904	0.01287	0.22408	0.08622	--	0.01031	0.51838	0.01546	0.00729	0.00004	0.00053	0.03503	0.00405	0.01076	0.0185	3.18719	0.05867	0.00736	0.03983	0.00932	0.1532	0.01232	0.00256	0.13438	0.16407	52.13463	0.0387	0.00603	2.95852	0.13998	0.00053	0.07288	0.09098	0.00562	19.00967	0.00083	0.0132	0.00842	0.05546	0.09487	0.34283	4.99261	1.38502	14.29306	0.0004	1.50349	2.01014	0.01078	0.00985	0.51398	0.00021	0.09304	0.00192	0.01093	0.01782	0.52849	0.00004	0.79211	0.02972	0.52365	0.00171	0.48736	0.00209	0.09056	1.22045	0.56767	--	0.00064	0.00218	0.00147	0.18621	0.01852	284.34042
1984	90.6032	0.00752	9.78461	0.00799	4.16918	0.00216	76.63174	12.08147	0.0027	0.0047	1.83715	--	0.03669	0.01555	0.00351	0.07319	4.30882	0.00155	0.39224	0.85268	0.05911	0.47576	0.00068	0.09397	0.2079	0.04507	0.00017	0.00463	0.00085	0.01483	0.05405	0.01973	0.01307	0.03382	0.07545	0.00813	0.00028	0.18614	0.03214	0.18243	0.03129	0.41196	0.35934	0.00075	0.00143	0.00074	0.02339	0.25078	0	0.11708	1.71362	0.13365	0.00047	70.81606	0.16072	1.06518	1.90722	--	1.39121	--	0.04405	--	0.71871	0.00051	0.94532	2.78659	--	2.12645	8.17075	--	3.60512	10.80876	0.0054	0.76766	1.18705	0.06693	0.30755	6.01082	0.1236	--	0.02247	--	2.88156	1.53129	4.75503	0.52866	2.87816	--	--	--	3.25094	2.03011	1.06238	1.22581	8.45009	53.41549	--	--	--	--	53.41549	--	--	--	--	--	--	--	--	--	--	--	7.85076	0.17157	2.22534	0.53817	0.3814	0.11582	0.4067	0.09399	0.10035	--	0.26846	2.46675	0.36831	0.58179	0.13211	8.32584	1.15572	0.05992	0.00669	0.01442	0.00621	0.00259	0.06116	0.00239	0.00363	0.00186	0.00064	0.01205	0.09554	0.06544	0.01096	1.15066	0.00106	--	0.03855	0.03733	0.00246	0.05144	0.01406	0.00168	0.09909	0.00212	0.02581	0.38419	0.01928	0.01064	0.00754	0.01316	0.01342	0.20998	0.03419	--	0.01085	0.55649	0.01624	0.01097	0.00004	0.00055	0.04167	0.00426	0.01071	0.0192	3.4528	0.05436	0.00863	0.04243	0.01099	0.16706	0.01351	0.00265	0.13155	0.155	56.59595	0.03913	0.00695	3.23291	0.16701	0.00048	0.06434	0.09891	0.00614	20.45343	0.00083	0.01452	0.01271	0.01909	0.11496	0.35351	5.65399	1.46096	15.64557	0.00029	1.54723	2.13481	0.00965	0.01087	0.61396	0.00083	0.0942	0.00198	0.01271	0.02156	0.56337	0.00004	0.81937	0.0335	0.5028	0.00222	0.51378	0.0021	0.10712	1.41214	0.6305	--	0.00064	0.00206	0.00154	0.19248	0.01874	299.68878
1985	90.96346	0.00741	10.15233	0.00714	4.40226	0.00191	76.3924	12.31643	0.00304	0.00461	1.74184	--	0.03321	0.01715	0.00352	0.06694	4.59267	0.00159	0.39888	0.86345	0.05935	0.48409	0.00073	0.10676	0.2206	0.04512	0.00022	0.00465	0.00088	0.01341	0.06058	0.02005	0.01495	0.03222	0.06769	0.00979	0.00031	0.15532	0.03573	0.16576	0.05515	0.41853	0.31086	0.00075	0.00176	0.00085	0.02843	0.27406	0	0.10847	1.74239	0.1496	0.00048	72.94133	0.16086	1.08788	2.00146	--	1.42884	--	0.04677	--	0.814	0.00051	0.95667	2.84158	--	2.19666	8.34985	--	3.80455	11.02438	0.01246	0.80896	1.23217	0.06615	0.31388	6.02781	0.12539	--	0.01833	--	3.00962	1.54751	4.91312	0.53583	2.88837	--	--	--	3.33717	2.16753	1.15513	1.33405	8.73387	55.68861	--	--	--	--	55.68861	--	--	--	--	--	--	--	--	--	--	--	8.55686	0.20492	2.39652	0.56653	0.35678	0.12027	0.40268	0.10834	0.11874	--	0.24321	2.71018	0.38492	0.79708	0.14669	8.50477	1.04784	0.07307	0.00787	0.01906	0.00591	0.00277	0.06392	0.00236	0.00358	0.00222	0.00055	0.01726	0.09769	0.07711	0.01082	1.21268	0.0012	--	0.04553	0.03172	0.00242	0.05842	0.01239	0.00181	0.10318	0.00219	0.0262	0.42109	0.02096	0.01132	0.00814	0.01301	0.01444	0.22413	0.03311	--	0.01088	0.59952	0.01672	0.01128	0.00004	0.00057	0.04088	0.00437	0.01167	0.01888	3.51604	0.06154	0.01076	0.04312	0.01074	0.17057	0.01423	0.0027	0.13022	0.15409	59.08212	0.03872	0.00652	3.26402	0.17329	0.00062	0.07673	0.10365	0.00626	22.00581	0.00083	0.01464	0.01117	0.0094	0.1103	0.37015	5.91415	1.53516	15.69054	0.00029	1.62406	2.30592	0.00939	0.00893	0.69926	0.0009	0.10401	0.00197	0.01102	0.02264	0.57527	0.00004	0.87242	0.03514	0.48589	0.00181	0.49804	0.00183	0.09586	1.45643	0.70186	--	0.00066	0.00202	0.00167	0.21448	0.01838	308.05358
1986	91.24179	0.007	10.25423	0.00462	4.32653	0.0024	76.64702	13.07322	0.00275	0.00462	1.89741	0.00146	0.03275	0.01826	0.00421	0.06835	4.9686	0.0016	0.38895	0.90079	0.05825	0.50085	0.00072	0.10905	0.23703	0.04824	0.00022	0.00542	0.00098	0.01378	0.06525	0.01933	0.01467	0.03763	0.06822	0.01053	0.00031	0.1517	0.03478	0.17099	0.11264	0.4496	0.33724	0.00075	0.00177	0.00087	0.02605	0.20582	0	0.11381	1.88679	0.09966	0.00053	74.54776	0.15769	1.08336	2.0658	--	1.41493	--	0.04851	--	0.81503	0.00764	0.98873	2.92215	--	2.20724	8.48675	--	3.8116	11.40743	0.01868	0.83651	1.24261	0.06864	0.3391	6.1078	0.125	--	0.021	--	3.14291	1.54194	5.00005	0.56926	2.96275	--	--	--	3.39223	2.19951	1.16494	1.49782	8.90013	57.47549	--	--	--	--	57.47549	--	--	--	--	--	--	--	--	--	--	--	9.16563	0.22078	2.42887	0.62292	0.37165	0.12935	0.45144	0.10323	0.13477	--	0.25573	3.01461	0.38388	0.90726	0.14115	8.74902	1.0604	0.07392	0.00764	0.02021	0.00692	0.00281	0.06991	0.0008	0.00427	0.00399	0.00055	0.01512	0.10398	0.07858	0.00974	1.24476	0.00121	--	0.04451	0.02869	0.00225	0.07788	0.016	0.00142	0.10949	0.0022	0.02118	0.44198	0.01523	0.01148	0.00675	0.00741	0.01754	0.25189	0.01812	--	0.00918	0.58736	0.01671	0.01098	0.00004	0.00056	0.04037	0.00438	0.01259	0.02008	3.61766	0.06886	0.01038	0.04934	0.00911	0.18062	0.01522	0.00271	0.12981	0.18422	61.46456	0.03976	0.00673	3.24834	0.18801	0.00278	0.05094	0.08891	0.00653	23.23741	0.00076	0.01766	0.01396	0.01564	0.06534	0.39209	6.35848	1.65327	15.70954	0.00026	1.61938	2.5749	0.00969	0.01241	0.74984	0.00114	0.11106	0.00197	0.01392	0.02233	0.62357	0.00004	0.93272	0.03586	0.49218	0.00184	0.57213	0.00184	0.09848	1.55603	0.7224	--	0.00066	0.00217	0.00167	0.1915	0.01843	315.71748
1987	94.12101	0.00988	10.5858	0.00335	4.46445	0.00306	79.05446	13.36335	0.00283	0.00564	1.95164	0.00146	0.03622	0.01731	0.00348	0.06706	5.11182	0.00163	0.41039	0.82399	0.06449	0.49279	0.00077	0.12611	0.2338	0.04681	0.00022	0.00598	0.00102	0.01567	0.06536	0.0147	0.0213	0.03635	0.07341	0.01194	0.00035	0.15405	0.03609	0.17813	0.1677	0.45514	0.35071	0.00079	0.00198	0.00095	0.01907	0.19155	0	0.12167	1.92305	0.11733	0.00062	76.018	0.1573	1.03252	2.10008	--	1.40928	--	0.05427	--	0.83236	0.00801	1.06452	2.98367	--	2.22166	8.61137	--	3.82739	11.40608	0.01898	0.89817	1.27868	0.07091	0.33993	6.331	0.12419	--	0.02361	--	3.23155	1.57291	5.16208	0.5882	3.03482	--	--	--	3.49437	2.26714	1.16849	1.65551	9.04893	58.82369	--	--	--	--	58.82369	--	--	--	--	--	--	--	--	--	--	--	9.74435	0.26522	2.54105	0.63925	0.39237	0.14108	0.53896	0.10697	0.13861	--	0.26227	3.07255	0.43466	1.07115	0.14022	8.97366	1.1349	0.07532	0.00598	0.02299	0.00722	0.00319	0.06649	0.00089	0.0039	0.00348	0.00087	0.01842	0.09915	0.08658	0.00996	1.29745	0.00116	--	0.05018	0.03333	0.0026	0.08511	0.01676	0.00262	0.10052	0.0022	0.01655	0.45225	0.02076	0.01196	0.00767	0.01022	0.0155	0.25296	0.01736	--	0.01015	0.61963	0.01822	0.0113	0.00009	0.00057	0.04066	0.00467	0.01352	0.0149	3.66845	0.06705	0.01143	0.04561	0.00872	0.16845	0.01369	0.00279	0.12025	0.19702	64.4887	0.06343	0.00686	3.43414	0.20723	0.00965	0.08183	0.08835	0.00663	24.75911	0.00076	0.01474	0.01424	0.01085	--	0.44013	6.44899	1.72279	16.1997	0.00031	1.56274	2.81632	0.0077	0.01384	0.75377	0.00114	0.11697	0.00197	0.0165	0.02183	0.62883	0.00004	1.00649	0.03907	0.55121	0.00182	0.63386	0.00212	0.10326	1.66344	0.79284	--	0.00097	0.00217	0.0016	0.22003	0.01843	325.53276
1988	98.32298	0.0108	11.05397	0.00777	4.53802	0.00319	82.70921	13.70194	0.00291	0.0058	1.95674	0.00556	0.0338	0.01645	0.00262	0.07765	5.28481	0.00382	0.44866	0.91932	0.06984	0.50004	0.00096	0.13375	0.2423	0.05113	0.00043	0.00706	0.00111	0.01712	0.07126	0.01461	0.02316	0.04547	0.08471	0.01429	0.0004	0.14343	0.03669	0.1752	0.17444	0.45353	0.3202	0.00092	0.00242	0.00112	0.02224	0.19772	0	0.11877	1.93668	0.08209	0.00066	76.45323	0.16167	1.11489	2.09054	--	1.40933	--	0.05423	--	0.80544	0.00848	1.06046	2.89939	--	2.22773	8.59016	--	3.81678	11.47327	0.02451	0.9576	1.24846	0.07335	0.334	6.48621	0.12887	--	0.02654	--	3.24036	1.60034	5.0579	0.65129	2.99265	--	--	--	3.74424	2.23013	1.18795	1.70408	9.05235	60.75979	--	--	--	--	60.75979	--	--	--	--	--	--	--	--	--	--	--	10.32518	0.22898	2.70365	0.76751	0.42507	0.13173	0.61897	0.09781	0.13042	--	0.26799	3.18356	0.45274	1.17287	0.14387	9.32305	1.20786	0.07828	0.00716	0.02467	0.00738	0.00471	0.06631	0.00128	0.00412	0.00232	0.00091	0.01503	0.10981	0.0905	0.00973	1.30184	0.00116	--	0.04922	0.0353	0.00269	0.09327	0.01713	0.00293	0.1132	0.0015	0.02054	0.46429	0.02275	0.01164	0.00482	0.01311	0.0212	0.26609	0.02463	--	0.01359	0.66323	0.01952	0.01132	0.00009	0.00057	0.03474	0.00647	0.01472	0.01508	3.78098	0.07187	0.01206	0.04835	0.00909	0.17914	0.01772	0.00283	0.12248	0.20185	69.14951	0.11162	0.00676	3.41915	0.22947	0.01213	0.07133	0.08415	0.00691	26.4463	0.00076	0.01498	0.01435	0.01126	--	0.49405	7.04691	1.84744	17.21189	0.00031	1.9215	3.12305	0.00724	0.01374	0.79964	0.00123	0.1212	0.00196	0.01656	0.02386	0.67438	0.00004	1.07839	0.0368	0.59046	0.00182	0.67652	0.00233	0.09914	1.79761	0.90767	--	0.00115	0.00286	0.00189	0.20047	0.01824	338.03568
1989	100.79731	0.01315	11.20107	0.00671	4.78677	0.00365	84.78595	14.16146	0.00288	0.00582	1.93995	0.00747	0.03847	0.01773	0.00362	0.08738	5.44799	0.00388	0.50603	0.95303	0.07579	0.51029	0.00101	0.12745	0.2372	0.05198	0.00039	0.00796	0.00115	0.01916	0.07487	0.00977	0.02134	0.05259	0.09729	0.02028	0.0004	0.15139	0.03994	0.17082	0.21662	0.40696	0.3123	0.00092	0.00243	0.00149	0.03013	0.21256	0	0.10472	2.06224	0.12507	0.0007	77.01409	0.1503	1.13012	2.15121	--	1.31732	--	0.06548	--	0.75262	0.0093	1.0708	2.92971	--	2.23046	8.87517	--	3.71624	11.1784	0.02104	1.00161	1.24638	0.07658	0.34706	6.67551	0.13777	--	0.02898	--	3.25926	1.67164	4.86104	0.70028	3.10534	--	--	--	3.85778	2.19853	1.1524	1.80295	9.29279	60.06916	--	--	--	--	60.06916	--	--	--	--	--	--	--	--	--	--	--	10.87565	0.23439	2.98498	0.82522	0.44373	0.13508	0.6963	0.07744	0.16839	--	0.27809	3.12648	0.48254	1.2686	0.15439	9.27496	1.17025	0.07641	0.00768	0.0282	0.0066	0.00505	0.07724	0.00137	0.00396	0.00238	0.00092	0.01726	0.11239	0.09075	0.02304	1.34836	0.00168	--	0.05208	0.04399	0.00265	0.10297	0.01665	0.00307	0.12209	0.0022	0.01685	0.48088	0.01724	0.01306	0.00835	0.01524	0.0251	0.29726	0.02016	--	0.01419	0.71807	0.02169	0.01174	0.00009	0.00057	0.03616	0.00686	0.01469	0.01535	3.55047	0.06886	0.01258	0.04975	0.01039	0.20375	0.01779	0.00283	0.10338	0.20237	71.61816	0.1103	0.00776	3.61846	0.25175	0.01228	0.08277	0.08858	0.00694	26.95795	0.00067	0.01718	0.01439	0.01071	--	0.51427	7.46151	2.09257	17.74972	0.00031	1.57464	3.39632	0.00908	0.01474	0.86664	0.00123	0.11563	0.00197	0.01667	0.02615	0.67436	0.00004	1.13443	0.03777	0.65935	0.00193	0.7329	0.00242	0.09549	1.91653	1.07364	--	0.00125	0.00425	0.00168	0.24265	0.01829	343.81078
