	North America	Bermuda	Canada	Greenland	Mexico	Saint Pierre and Miquelon	United States	Central & South America	Antarctica	Antigua and Barbuda	Argentina	Aruba	Bahamas, The	Barbados	Belize	Bolivia	Brazil	Cayman Islands	Chile	Colombia	Costa Rica	Cuba	Dominica	Dominican Republic	Ecuador	El Salvador	Falkland Islands (Islas Malvinas)	French Guiana	Grenada	Guadeloupe	Guatemala	Guyana	Haiti	Honduras	Jamaica	Martinique	Montserrat	Netherlands Antilles	Nicaragua	Panama	Paraguay	Peru	Puerto Rico	Saint Kitts and Nevis	Saint Lucia	Saint Vincent/Grenadines	Suriname	Trinidad and Tobago	Turks and Caicos Islands	Uruguay	Venezuela	Virgin Islands,  U.S.	Virgin Islands, British	Europe	Albania	Austria	Belgium	Bosnia and Herzegovina	Bulgaria	Croatia	Cyprus	Czech Republic	Denmark	Faroe Islands	Finland	Former Czechoslovakia	Former Serbia and Montenegro	Former Yugoslavia	France	Germany	Germany, East	Germany, West	Gibraltar	Greece	Hungary	Iceland	Ireland	Italy	Luxembourg	Macedonia	Malta	Montenegro	Netherlands	Norway	Poland	Portugal	Romania	Serbia	Slovakia	Slovenia	Spain	Sweden	Switzerland	Turkey	United Kingdom	Eurasia	Armenia	Azerbaijan	Belarus	Estonia	Former U.S.S.R.	Georgia	Kazakhstan	Kyrgyzstan	Latvia	Lithuania	Moldova	Russia	Tajikistan	Turkmenistan	Ukraine	Uzbekistan	Middle East	Bahrain	Iran	Iraq	Israel	Jordan	Kuwait	Lebanon	Oman	Palestine	Qatar	Saudi Arabia	Syria	United Arab Emirates	Yemen	Africa	Algeria	Angola	Benin	Botswana	Burkina Faso	Burundi	Cameroon	Cape Verde	Central African Republic	Chad	Comoros	Congo (Brazzaville)	Congo (Kinshasa)	Cote dIvoire (IvoryCoast)	Djibouti	Egypt	Equatorial Guinea	Eritrea	Ethiopia	Gabon	Gambia, The	Ghana	Guinea	Guinea-Bissau	Kenya	Lesotho	Liberia	Libya	Madagascar	Malawi	Mali	Mauritania	Mauritius	Morocco	Mozambique	Namibia	Niger	Nigeria	Reunion	Rwanda	Saint Helena	Sao Tome and Principe	Senegal	Seychelles	Sierra Leone	Somalia	South Africa	Sudan and South Sudan	Swaziland	Tanzania	Togo	Tunisia	Uganda	Western Sahara	Zambia	Zimbabwe	Asia & Oceania	Afghanistan	American Samoa	Australia	Bangladesh	Bhutan	Brunei	Burma (Myanmar)	Cambodia	China	Cook Islands	Fiji	French Polynesia	Guam	Hawaiian Trade Zone	Hong Kong	India	Indonesia	Japan	Kiribati	Korea, North	Korea, South	Laos	Macau	Malaysia	Maldives	Mongolia	Nauru	Nepal	New Caledonia	New Zealand	Niue	Pakistan	Papua New Guinea	Philippines	Samoa	Singapore	Solomon Islands	Sri Lanka	Taiwan	Thailand	Timor-Leste (East Timor)	Tonga	U.S. Pacific Islands	Vanuatu	Vietnam	Wake Island	World
1980	285.68409	144.99507	394.20071	157.53692	54.40504	366.44407	343.56604	39.3558	NA	87.26986	57.82593	--	285.58352	57.39445	25.72097	13.6992	32.69225	84.53343	38.46111	26.14817	24.12001	47.2732	6.44893	15.31664	23.54789	9.90524	86	73.57143	7.41981	20.97033	10.10108	28.20555	2.72289	9.74819	52.96658	27.56637	21.75021	1023.12044	11.67888	93.60795	8.79556	23.35824	133.22556	17.12148	13.4066	7.4445	114.59756	159.67503	0	37.31676	107.5507	2507.33671	29.4599	135.49842	57.9299	145.14581	209.63472	--	149.41878	--	66.66201	--	168.46592	152.64079	203.40507	179.92158	--	76.5063	155.38509	--	214.45337	183.1374	255.94061	77.95795	112.95589	247.59157	94.98384	108.32077	389.56574	--	51.86375	--	226.60093	328.2326	142.44643	44.12957	124.35393	--	--	--	81.20063	249.62463	177.72796	23.10571	156.42099	175.74763	--	--	--	--	175.74763	--	--	--	--	--	--	--	--	--	--	--	62.24201	395.65207	39.85542	39.59992	93.90327	35.62175	351.07553	36.13005	54.55055	--	904.61798	165.97342	31.31133	267.22884	10.5216	14.18979	42.58489	8.62509	1.90633	16.86115	0.97053	0.36989	5.37825	15.31139	1.1664	0.89952	1.9003	7.13145	3.12678	8.5973	67.45739	16.56862	3.3076	--	0.77949	39.8147	3.33322	7.81775	3.08979	1.56167	6.07005	1.5612	17.14737	129.51427	2.17589	1.90421	1.03175	5.95273	14.17273	11.60797	14.49781	--	1.50174	5.64389	23.43172	0.68968	0	5.75859	6.59078	49.47306	3.16999	2.85749	90.01358	2.68154	16.50531	2.09103	3.65913	19.88358	1.28416	19.00148	23.49506	21.64213	19.75316	1.79363	182.83053	187.65985	1.45529	0.3296	442.81942	2.08488	0.65989	17.55539	23.1538	24.08983	20.68312	498.61981	NA	53.80133	5.90005	7.71941	130.10871	5.83982	77.57184	46.12223	3.98209	27.2782	31.084	1.39334	50.02196	246.1738	0.56362	197.64267	157.06688	21.5	7.40921	10.1971	10.86123	9.10902	182.98486	6.3527	5.86463	62.57435	10.7997	--	4.75039	15.85944	14.73572	3.19012	NA	63.56176
1981	276.84427	124.85659	385.12116	146.15335	58.73276	366.97705	331.66502	38.35712	NA	77.84484	55.36829	--	296.39161	60.62922	23.02922	15.03987	30.82107	86.43424	37.18087	26.28961	24.26652	47.77418	8.35879	14.81708	23.723	9.18827	86.5	63.27143	8.29417	29.80826	8.37477	31.94944	1.93531	8.70818	44.07997	26.95308	24.0095	948.51314	11.56468	93.1545	8.35033	24.23746	138.97549	18.07561	10.4601	6.93254	101.08413	150.84746	0	35.16329	113.62239	2242.76687	44.65067	130.50385	56.75174	143.59268	208.16805	--	148.10048	--	56.76698	--	146.15759	11.67853	206.22664	177.9853	--	79.55146	148.621	--	212.92079	174.65472	282.67405	76.7966	112.11971	243.46171	90.56795	106.16828	346.43113	--	56.54158	--	211.09103	338.64408	127.48728	37.46722	124.20146	--	--	--	81.85397	245.41476	163.91336	21.11115	150.49254	176.12256	--	--	--	--	176.12256	--	--	--	--	--	--	--	--	--	--	--	63.06424	434.39535	35.91281	35.24302	96.54114	40.631	245.87603	33.0165	55.00597	--	810.3523	190.03666	31.95177	407.78913	10.41284	14.1759	35.04165	8.43804	1.85759	16.5013	0.95222	0.40194	5.76562	15.07985	1.38573	0.86048	1.85375	8.24382	3.1121	9.11764	51.34429	18.74231	3.10881	--	0.75718	43.82491	3.21804	7.42872	2.97268	1.52158	5.99941	1.37402	15.35455	111.45127	1.84403	1.92606	1.30563	5.6935	12.32052	10.90185	5.41006	--	1.52505	6.71429	24.72865	1.21415	6.0818	5.6113	6.23186	39.16841	3.1245	3.30874	94.60997	2.77006	15.24123	2.27245	3.32002	21.35503	0.89229	16.88847	23.00097	20.96932	19.70023	2.22002	205.98303	189.26865	1.47992	0.97423	441.73914	2.10843	0.67761	17.24377	47.43285	24.37544	29.59804	682.41943	NA	54.70603	6.61804	8.25301	128.52703	6.80982	79.04309	47.05878	3.38409	25.11797	31.62797	1.31641	44.31759	243.88691	0.50632	186.06252	154.83726	21.5	7.53045	9.91481	10.27255	9.55245	182.52957	8.72089	5.83348	58.88211	11.3586	--	6.93044	15.27669	12.50644	3.08748	NA	61.93186
1982	263.65569	131.74304	365.30462	139.70256	60.30758	335.70365	315.53909	37.51245	NA	104.48771	57.03772	--	249.15641	60.24835	21.18881	13.06344	30.5611	83.54034	32.52798	27.55848	23.01555	51.21702	8.18401	15.28268	25.21968	9.27649	86.5	80.64286	9.20856	37.39589	8.31218	25.6355	2.49122	8.58394	37.66983	26.73761	24.26685	904.41133	11.19941	86.26307	7.90403	23.60885	100.96588	21.07205	12.36701	7.36666	96.84967	148.84342	0	33.18281	111.81251	1624.74517	43.22084	128.49114	55.45018	136.58322	196.33516	--	152.81871	--	59.93123	--	144.33196	11.57723	187.78103	176.60479	--	80.85499	142.75848	--	215.27168	170.38297	255.02634	74.40349	111.6917	255.62678	88.66073	103.60378	329.40231	--	61.38155	--	200.75515	327.24783	126.52945	49.35695	129.15605	--	--	--	87.71564	226.11037	159.34339	23.69044	148.0687	182.19855	--	--	--	--	182.19855	--	--	--	--	--	--	--	--	--	--	--	62.77961	444.3345	39.50427	32.62486	97.10582	44.53281	233.80728	31.43238	63.62841	--	914.52596	174.2814	31.45248	363.80323	11.86245	14.87003	47.80934	8.80533	1.27544	14.79691	0.93126	0.34682	6.51553	6.56387	1.44612	0.82085	1.81156	7.21959	3.06952	8.24863	49.93879	20.29581	3.70568	--	0.8067	40.07317	3.1152	7.25008	2.95905	1.51132	5.71598	1.47681	14.98823	105.70717	1.65249	1.76084	1.02532	5.64086	12.101	10.80254	5.12036	--	1.56424	6.50178	26.44921	1.17731	6.32625	5.61526	6.21022	35.81385	3.2849	3.24381	97.95619	2.89701	14.24463	2.17207	3.1917	19.93712	0.99085	17.07571	22.75913	19.00059	19.62406	2.57108	277.1855	190.88352	1.56209	1.20256	467.71128	2.29123	0.73125	17.7126	47.19849	23.45997	38.91133	530.67033	NA	59.07215	6.63968	8.3019	123.01143	6.67217	81.55971	46.60416	3.39743	25.804	31.83722	1.27857	51.46509	239.49475	0.6334	143.90791	156.44876	21.5	8.31005	9.64917	10.0968	10.63513	184.91402	7.63788	5.93947	57.84976	10.89606	--	6.4316	14.76117	12.19	3.26929	NA	60.77261
1983	259.14797	138.84985	361.00634	96.94705	55.19914	363.18736	312.11742	36.29235	NA	63.25815	56.8246	--	184.03764	63.29602	20.70694	13.18067	29.87203	78.85361	32.46855	27.36409	24.58702	46.52508	8.98958	17.80599	22.95356	9.36653	86.5	72.625	8.95964	38.8	8.76385	22.6457	2.19219	8.66709	40.05708	26.19075	24.48097	820.20662	10.40754	85.58009	8.29289	21.58086	96.71324	17.21027	11.20268	7.28216	67.19638	161.04729	0	40.24278	104.67922	1138.98633	41.59191	128.57619	55.96309	137.72356	186.88603	--	154.84084	--	65.43376	--	136.70381	11.56539	186.13173	177.90404	--	82.18001	144.41878	--	211.75914	170.97716	204.86858	75.98631	112.97981	265.20896	85.58125	101.51746	313.16497	--	44.60653	--	195.96567	356.06965	125.6129	50.67659	131.53952	--	--	--	89.5464	232.62291	166.46732	23.88928	148.57989	184.82019	--	--	--	--	184.82019	--	--	--	--	--	--	--	--	--	--	--	68.05557	452.68785	46.52259	37.59214	94.16373	45.89209	248.11377	31.9367	70.29103	--	763.41843	177.63367	34.30795	422.54156	10.4798	15.1111	51.93137	9.20788	1.81127	13.90071	0.91152	0.42927	6.29953	6.35634	1.47734	0.78151	1.76941	6.24013	3.09769	7.69054	35.49688	22.32761	3.5251	--	0.89241	53.22384	3.01565	4.5566	2.89932	1.47691	5.47313	1.43801	14.47396	109.15071	2.04622	1.5571	1.02624	5.48589	12.84165	10.83605	6.75043	--	1.57565	6.38686	29.16522	1.28801	6.22407	5.30415	5.78396	61.47678	3.03444	3.07719	95.77385	2.70384	10.9431	1.95537	3.19613	22.33268	0.91497	15.42101	21.38698	20.6936	19.93073	3.11358	168.36877	192.76188	1.42496	1.06756	355.60695	2.57531	0.74605	18.48548	47.4584	19.65104	50.91563	486.15007	NA	64.13854	6.85306	8.63262	119.83792	6.58888	83.90969	50.36694	3.08324	34.51733	34.83997	1.25264	51.54686	235.05585	0.69372	121.59484	162.29082	21.5	8.17608	9.68906	9.54079	10.64522	181.22371	8.18494	5.73699	64.90608	11.42317	--	6.86617	14.25982	11.50066	3.24194	NA	60.53872
1984	269.07466	134.69285	380.69733	151.90734	55.52967	354.11553	324.95186	37.87983	NA	72.91764	60.77123	--	163.35807	60.72218	21.84939	12.54425	31.98836	77.47253	33.01739	29.30622	23.02108	47.70086	9.17708	15.05629	23.55549	9.81014	87	57.9125	9.19796	42.38286	7.32325	25.88755	2.18226	8.59895	32.61826	23.22	24.82084	763.34319	10.29406	85.91074	8.86183	21.66962	107.26417	17.31341	11.07514	7.20819	62.49297	214.54304	0	38.9189	103.57604	1328.51889	36.85369	131.14909	55.49845	141.00572	193.52176	--	155.8208	--	65.93966	--	140.60279	11.35211	193.64176	180.67401	--	95.27846	148.31842	--	215.54731	176.8159	191.24367	77.64183	111.27071	279.45114	87.15021	105.9745	337.45627	--	63.95095	--	199.83022	369.86817	128.8482	53.47855	128.18135	--	--	--	84.74176	243.34173	162.03988	24.59509	149.17439	194.02348	--	--	--	--	194.02348	--	--	--	--	--	--	--	--	--	--	--	71.61569	420.19672	47.55806	35.49787	95.41419	45.69986	248.39279	30.16968	69.78162	--	827.39746	195.66636	36.48466	452.97041	12.91441	15.45607	54.15619	8.05152	1.71176	13.82142	0.8889	0.53823	6.19852	7.63554	1.37999	0.37034	1.75365	6.39602	2.95423	6.56836	29.24359	23.70045	3.36858	--	0.866	46.35367	3.21466	4.00844	2.8388	1.94733	5.20158	1.40361	12.31436	105.86229	1.97906	1.49767	1.02395	7.80998	13.26084	9.9233	2.64575	--	1.61915	6.72708	30.06622	1.87992	5.60897	5.41071	6.70647	64.016	2.95731	3.08778	100.51491	2.4264	12.39851	2.02187	3.63663	23.25331	0.97024	15.34829	20.22198	18.80816	21.25933	3.06829	187.45282	208.43422	1.66542	0.93629	304.62592	2.74481	0.79781	19.61478	46.77901	21.17899	74.65268	162.74212	NA	65.49069	7.59928	8.92941	130.34206	4.77538	85.03113	52.8339	2.69803	36.35773	40.39741	4.79948	50.76519	238.20387	0.78689	144.04388	170.91929	21.5	8.24692	10.6453	8.93744	13.83035	187.28674	7.95424	6.70496	73.99849	12.4768	--	6.86886	13.03666	11.78329	3.27562	NA	62.7329
1985	266.9522	131.85953	391.35332	134.32146	57.34561	310.76473	321.07928	37.86199	NA	71.52396	56.78955	--	145.54466	66.65112	21.27279	11.27959	33.42996	76.36957	33.05331	29.02572	22.44308	48.09297	9.93391	16.73811	24.34422	9.66034	107.5	51.7	9.43487	37.86723	7.99104	26.30812	2.44303	7.90254	29.20159	27.72521	27.20127	635.41897	11.19794	76.47222	15.17788	21.53835	91.91236	17.37672	13.44213	8.14249	74.72514	230.49014	0	36.01192	102.50874	1484.73601	36.63809	134.4836	54.40434	143.90382	203.02452	--	159.76147	--	68.8536	--	159.17987	11.23235	195.16876	183.86412	--	97.82612	150.9516	--	227.61411	180.81646	434.97993	81.5217	115.71055	274.03552	88.66556	106.20985	341.49373	--	52.81835	--	207.68347	372.67696	131.98152	54.13926	128.25102	--	--	--	86.60126	259.38744	175.26781	26.15935	153.77533	200.477	--	--	--	--	200.477	--	--	--	--	--	--	--	--	--	--	--	75.1313	483.30865	49.29184	36.09953	87.69378	45.72567	232.38194	34.16755	79.30471	--	683.10906	203.31331	36.77792	584.59045	13.91727	15.35882	47.61069	9.63428	1.95183	17.65206	0.82416	0.56298	6.27175	7.43798	1.31784	0.43742	1.45988	8.89106	2.92987	7.46352	28.31107	24.22814	3.70515	--	1.00802	38.07401	3.05991	4.4161	2.3703	2.04844	5.22139	1.41141	12.11924	114.42494	2.0898	1.54402	1.08463	7.54587	14.14966	10.35523	2.53509	--	1.58427	7.06241	30.39618	1.88395	5.41494	5.44772	6.40912	64.97953	3.15007	2.92264	99.15996	2.65889	14.91762	1.99453	3.43243	23.16427	0.98884	15.05072	19.39079	17.99967	21.81236	2.95677	168.68998	207.96262	1.69381	1.17763	352.21451	2.81912	0.79802	20.79929	47.33322	20.94704	63.66862	77.96709	NA	67.84076	7.78575	9.20523	129.93767	4.7071	87.87532	56.50932	2.56765	29.18283	44.68351	5.09879	54.51878	230.71504	0.66495	148.39144	173.1799	21.5	8.54655	10.88207	8.42016	11.23325	181.11347	6.71596	5.92152	75.31705	13.67031	--	7.10215	12.32561	12.38774	3.56912	NA	63.40392
1986	264.54911	123.82718	391.32617	86.04597	55.15554	385.89639	319.18583	39.39108	NA	71.75434	60.92196	24.37519	141.4933	70.71065	24.55966	11.3129	35.44032	74.56152	31.72264	29.62113	21.38743	49.37208	9.91605	16.73373	25.48443	10.13827	108.02512	60.23424	10.42243	38.48986	8.34417	25.31519	2.34578	8.90302	29.37279	29.49752	27.58472	822.9975	10.65788	77.29642	30.11966	22.64372	98.80236	17.51242	13.34465	8.30992	67.67895	170.3342	0	37.5526	108.12441	988.31589	38.78567	136.80179	52.29452	143.14514	209.47471	--	157.93743	--	70.26145	--	159.16865	165.96274	201.06918	188.75805	--	97.7353	152.79941	--	228.1918	186.97633	642.47433	84.06016	116.89023	282.48603	95.77835	107.61399	338.74102	--	60.58382	--	215.68331	370.07215	133.31949	57.45751	131.09694	--	--	--	87.6375	262.34429	175.69621	28.73394	156.23057	205.08044	--	--	--	--	205.08044	--	--	--	--	--	--	--	--	--	--	--	77.56949	502.19747	48.13038	38.33966	89.77684	47.42501	249.20251	32.0038	86.70128	--	660.35402	215.3558	35.38496	627.17939	12.98583	15.37453	46.83215	9.54009	1.83735	18.11557	0.93925	0.56059	6.63858	2.49326	1.53981	0.76604	1.42574	7.55283	3.02485	7.33588	24.57221	24.12626	3.621	--	0.96775	33.38322	2.75248	5.65112	2.96549	1.57134	5.347	1.38441	9.49406	119.30623	1.47499	1.50854	0.8814	4.20388	17.0537	11.38381	1.37875	--	1.30369	6.74412	29.84585	1.78224	5.24351	5.26205	6.16378	64.58974	3.32297	2.98968	99.54561	2.89506	13.85294	2.21427	2.80964	23.9322	1.02075	14.51297	18.67303	20.75273	22.31164	3.03855	167.57688	204.29278	1.80177	5.07515	226.66529	2.3698	0.80649	21.6258	42.99191	24.76489	77.25844	127.25094	NA	70.97222	8.20383	9.73111	129.3052	4.14463	86.26374	62.47634	2.57489	39.74445	46.54145	6.19115	56.64213	226.14763	0.81843	143.50963	186.77376	21.78678	8.86284	10.822	8.31576	11.45583	208.04111	6.51709	5.99591	79.56948	13.85774	--	7.08255	12.70245	12.09585	3.11691	NA	63.89052
1987	269.62722	173.92252	398.71649	61.99515	55.72029	489.64025	326.28178	39.45946	NA	87.59687	61.71267	24.63346	154.46796	66.78359	19.73053	10.89337	35.74034	73.89905	32.92498	26.50746	23.03712	48.23367	10.75977	18.94369	24.49383	9.65033	108.02512	59.77909	10.8935	43.1804	8.01018	19.21498	3.33304	8.31101	31.56085	33.06591	31.84233	829.73776	10.78709	78.93069	43.55942	22.44225	101.81777	18.64213	14.75132	8.96729	49.32171	156.37023	0	39.90593	107.3719	1162.78684	43.77558	138.8556	51.15072	136.23602	212.76982	--	157.07568	--	77.34392	--	162.34693	171.68722	215.8522	192.35966	--	97.8516	154.36514	--	230.17358	186.7095	642.86808	90.0471	120.48514	289.81117	96.02815	111.55429	334.16242	--	67.62736	--	220.35406	375.74149	136.77747	59.32247	133.77281	--	--	--	89.87415	269.2116	174.98915	31.09369	158.34392	208.09647	--	--	--	--	208.09647	--	--	--	--	--	--	--	--	--	--	--	79.76514	583.26951	48.54869	38.64127	93.19068	49.95782	284.93338	32.63301	86.00341	--	660.70837	210.16433	38.6608	699.89324	12.49845	15.36421	48.80239	9.56075	1.39573	19.9569	0.95113	0.62063	6.11865	2.72297	1.37275	0.64506	2.20488	8.92044	2.79426	7.7961	24.31303	24.77221	3.39635	--	1.06255	37.83426	3.06834	6.00473	3.03169	2.82792	4.74243	1.35948	7.1899	118.85266	1.95136	1.48461	0.98212	5.6625	14.95675	11.18749	1.34612	--	1.40624	6.93055	31.96243	1.77355	13.54826	5.24723	6.04349	68.16802	3.48959	2.14701	98.5453	2.76149	14.69842	1.9818	2.59782	21.79758	0.8823	14.40345	16.71445	21.37716	23.00608	4.87906	163.85648	212.81519	1.94795	17.09126	352.98123	2.30764	0.7887	22.63741	42.93109	20.48051	76.61225	86.31842	--	78.812	8.15667	9.95741	132.6851	4.69423	81.95822	67.6641	1.98948	42.83903	45.46576	5.94651	58.04671	221.1447	0.9456	137.5001	187.68327	21.78678	9.26924	11.48693	9.08862	11.30627	226.82131	7.28416	6.19685	84.19149	14.98453	--	10.36938	12.13144	11.2234	3.50219	NA	64.76109
1988	278.30364	188.9909	411.00785	141.72183	55.48931	508.46265	338.2804	39.65736	NA	90.06309	60.95879	93.45205	142.18925	63.29631	14.4692	12.35916	36.22892	156.07917	35.38725	28.93606	24.29912	48.52164	13.49621	19.6732	24.73885	10.35287	216.36622	64.19042	11.74313	46.65575	8.38714	19.06369	3.55284	10.0706	36.3646	39.1559	36.18192	768.31361	10.6815	76.12007	44.01328	21.89859	92.14306	21.84802	17.85736	10.56663	57.23399	159.66165	0	38.72013	105.37742	813.17326	45.08793	138.99474	51.54023	146.70016	211.50788	--	156.90575	--	76.06122	--	157.02062	180.16497	214.38075	186.61167	--	97.62993	153.27665	--	229.78023	186.80027	816.33114	95.92551	119.55601	293.55397	94.62821	114.28018	343.08298	--	75.4074	--	219.51692	380.24249	133.57056	65.65061	131.43574	--	--	--	95.87376	263.31799	176.46518	31.35062	157.92813	213.21401	--	--	--	--	213.21401	--	--	--	--	--	--	--	--	--	--	--	81.70634	487.61223	49.90288	45.0402	99.26815	45.10201	313.68802	29.39265	78.06106	--	648.17355	208.98929	38.87496	722.76566	12.41215	15.55955	50.57894	9.7565	1.61881	20.74637	0.94212	0.89159	5.92029	3.88361	1.41114	0.41844	2.24735	7.0549	2.99793	7.86145	23.31338	24.48808	3.29827	--	1.01129	39.23758	3.04994	6.39951	3.02321	3.08278	5.16529	0.91078	8.64318	118.47299	2.07609	1.35556	0.6043	7.09136	20.2866	11.52574	1.96676	--	1.83607	7.22783	34.24277	1.71649	13.42101	5.11753	5.02547	93.50126	3.7106	2.17964	99.16623	2.91289	14.79691	2.0348	2.61477	22.67994	1.09526	14.03142	16.51111	21.11371	24.22359	8.5245	154.87237	208.47542	2.11734	20.81832	298.61742	2.15636	0.79301	23.76413	42.24243	20.61786	75.07772	88.30843	--	87.7779	8.73895	10.48696	140.37575	4.55041	99.1937	74.30358	1.81815	41.38331	46.8856	6.13897	58.52897	215.81461	0.92409	147.32121	200.74922	21.72725	9.62667	10.53776	9.51112	11.23864	235.78067	7.73835	5.86508	89.98798	16.90778	--	12.36659	15.17695	12.90979	3.12204	NA	66.10652
1989	281.80502	228.79749	409.10717	121.09299	57.41821	579.01861	343.51437	40.20113	NA	90.36875	59.55942	123.07632	159.48162	67.90717	19.39366	13.60455	36.64763	154.67413	39.2204	29.35927	25.69261	49.02913	14.34762	18.3592	23.60585	10.34383	196.75964	72.33297	12.23524	50.40794	8.57596	12.71794	3.20813	11.29594	41.63643	54.95648	36.68235	806.83252	11.30947	72.77678	53.08554	19.24108	89.08477	22.05161	17.77457	13.93709	76.75554	170.29471	0	33.91455	109.39863	1237.81753	46.51251	139.17945	47.03169	148.15624	216.46928	--	146.53113	--	90.09243	--	146.6357	196.67848	215.78188	188.29695	--	97.29807	156.85298	--	223.1317	180.32587	691.8312	99.8542	119.86796	303.00727	98.78719	117.60798	364.84246	--	81.55104	--	219.49518	395.54694	128.02265	70.57051	135.88849	--	--	--	98.37643	257.85345	169.67653	32.5075	161.67441	209.73324	--	--	--	--	209.73324	--	--	--	--	--	--	--	--	--	--	--	83.30831	483.34321	53.37303	46.96099	101.8827	44.67725	338.53081	22.9502	97.23712	--	646.48182	197.51154	40.03542	736.67303	12.88045	15.08741	47.77261	9.37158	1.68379	22.99111	0.81594	0.93403	6.69316	4.10005	1.31844	0.41567	2.19298	7.85748	2.97308	7.60612	52.0632	24.99356	4.66323	--	1.03902	47.8747	2.89831	6.87226	2.86594	3.15481	5.39373	1.31211	6.86941	119.23667	1.52713	1.4369	1.02314	8.08391	23.8292	12.62263	1.61513	--	1.86583	7.62608	36.75559	1.72281	13.36446	5.02657	5.07379	97.9811	3.61428	2.26789	90.92584	2.7332	14.81339	2.03197	2.88763	25.28963	1.05706	13.54301	13.54088	20.50739	24.64928	8.2266	171.07113	216.92646	2.28206	20.47954	336.64711	2.22934	0.76806	23.8412	36.82551	23.43019	73.23461	81.77554	--	90.84878	9.07485	11.66817	144.18064	4.43683	79.98016	80.00935	2.21895	43.20463	49.60143	5.91548	53.51698	211.8659	0.90553	158.36541	199.77726	21.78678	9.82881	10.53371	10.37459	11.90992	247.79027	7.78941	5.57016	94.84245	19.71938	--	13.42795	21.2652	11.21059	3.68381	NA	66.11759
