	North America	Bermuda	Canada	Greenland	Mexico	Saint Pierre and Miquelon	United States	Central & South America	Antarctica	Antigua and Barbuda	Argentina	Aruba	Bahamas, The	Barbados	Belize	Bolivia	Brazil	Cayman Islands	Chile	Colombia	Costa Rica	Cuba	Dominica	Dominican Republic	Ecuador	El Salvador	Falkland Islands (Islas Malvinas)	French Guiana	Grenada	Guadeloupe	Guatemala	Guyana	Haiti	Honduras	Jamaica	Martinique	Montserrat	Netherlands Antilles	Nicaragua	Panama	Paraguay	Peru	Puerto Rico	Saint Kitts and Nevis	Saint Lucia	Saint Vincent/Grenadines	Suriname	Trinidad and Tobago	Turks and Caicos Islands	Uruguay	Venezuela	Virgin Islands,  U.S.	Virgin Islands, British	Europe	Albania	Austria	Belgium	Bosnia and Herzegovina	Bulgaria	Croatia	Cyprus	Czech Republic	Denmark	Faroe Islands	Finland	Former Czechoslovakia	Former Serbia and Montenegro	Former Yugoslavia	France	Germany	Germany, East	Germany, West	Gibraltar	Greece	Hungary	Iceland	Ireland	Italy	Luxembourg	Macedonia	Malta	Montenegro	Netherlands	Norway	Poland	Portugal	Romania	Serbia	Slovakia	Slovenia	Spain	Sweden	Switzerland	Turkey	United Kingdom	Eurasia	Armenia	Azerbaijan	Belarus	Estonia	Former U.S.S.R.	Georgia	Kazakhstan	Kyrgyzstan	Latvia	Lithuania	Moldova	Russia	Tajikistan	Turkmenistan	Ukraine	Uzbekistan	Middle East	Bahrain	Iran	Iraq	Israel	Jordan	Kuwait	Lebanon	Oman	Palestine	Qatar	Saudi Arabia	Syria	United Arab Emirates	Yemen	Africa	Algeria	Angola	Benin	Botswana	Burkina Faso	Burundi	Cameroon	Cape Verde	Central African Republic	Chad	Comoros	Congo (Brazzaville)	Congo (Kinshasa)	Cote dIvoire (IvoryCoast)	Djibouti	Egypt	Equatorial Guinea	Eritrea	Ethiopia	Gabon	Gambia, The	Ghana	Guinea	Guinea-Bissau	Kenya	Lesotho	Liberia	Libya	Madagascar	Malawi	Mali	Mauritania	Mauritius	Morocco	Mozambique	Namibia	Niger	Nigeria	Reunion	Rwanda	Saint Helena	Sao Tome and Principe	Senegal	Seychelles	Sierra Leone	Somalia	South Africa	Sudan and South Sudan	Swaziland	Tanzania	Togo	Tunisia	Uganda	Western Sahara	Zambia	Zimbabwe	Asia & Oceania	Afghanistan	American Samoa	Australia	Bangladesh	Bhutan	Brunei	Burma (Myanmar)	Cambodia	China	Cook Islands	Fiji	French Polynesia	Guam	Hawaiian Trade Zone	Hong Kong	India	Indonesia	Japan	Kiribati	Korea, North	Korea, South	Laos	Macau	Malaysia	Maldives	Mongolia	Nauru	Nepal	New Caledonia	New Zealand	Niue	Pakistan	Papua New Guinea	Philippines	Samoa	Singapore	Solomon Islands	Sri Lanka	Taiwan	Thailand	Timor-Leste (East Timor)	Tonga	U.S. Pacific Islands	Vanuatu	Vietnam	Wake Island	World
1980	5.76037	0	2.6202	0	0.18283	0	2.95734	2.13994	0	0	0.18089	--	0	0	0.00042	0.01158	1.35417	0	0.07732	0.15097	0.02179	0.01035	0.00009	0.00671	0.00912	0.01603	0	0	0	0	0.00589	0.00005	0.00238	0.00802	0.00179	0	0	0	0.00561	0.01034	0.00745	0.07391	0.00212	0	0	0.00018	0.00917	0.00026	0	0.02336	0.14998	0	0	4.90185	0.03032	0.29927	0.00581	--	0.03817	--	0	--	0.00031	0.00051	0.10507	0.04986	--	0.28949	0.72067	--	0.01722	0.23155	0	0.03528	0.00115	0.03223	0.00865	0.50683	0.00119	--	0	--	0.01039	0.85926	0.0282	0.08494	0.12991	--	--	--	0.30649	0.61157	0.33949	0.11726	0.04073	1.91165	--	--	--	--	1.91165	--	--	--	--	--	--	--	--	--	--	--	0.09992	0	0.05777	0.0071	0	0	0	0.00874	0	--	0	0	0.02632	0	0	0.6258	0.00258	0.00551	0	0	0	0.00002	0.01402	0	0.00069	0	0.00002	0.00103	0.04362	0.01397	0	0.10075	0.00002	--	0.00491	0.00267	0	0.05481	0.00154	0	0.01228	0	0.00344	0	0.00152	0.00403	0.00086	0.00026	0.00085	0.01545	0.13929	--	0	0.0283	0.00314	0.00115	0	0.00007	0	0	0	0	0.0103	0.00514	0.00131	0.01025	0.00039	0.00024	0.00658	0	0.0936	0.0412	2.7799	0.00739	0	0.13727	0.00649	0.00006	0	0.00819	0.00051	0.59854	0	0	0	0	0	0	0.48346	0.02321	0.92323	0	0.10901	0.01599	0.00956	0	0.01452	0	0	0	0.00183	0.00287	0.21743	0	0.08962	0.00324	0.05661	0.00007	0	0	0.01521	0.03018	0.01309	--	0	0	0	0.01234	0	18.21943
1981	5.85486	0	2.76942	0	0.26419	0	2.82125	2.1815	0	0	0.17229	--	0	0	0.00042	0.01219	1.37388	0	0.08041	0.15208	0.02363	0.01002	0.0001	0.00923	0.00818	0.01611	0	0	0	0	0.00412	0.00005	0.00245	0.00858	0.00179	0	0	0	0.00547	0.0153	0.00788	0.08459	0.0013	0	0	0.00018	0.00862	0.00019	0	0.02634	0.15609	0	0	4.99325	0.03155	0.31697	0.00683	--	0.03742	--	0	--	0.00032	0.00051	0.1413	0.0439	--	0.26178	0.74829	--	0.01796	0.23654	0	0.03552	0.00174	0.03363	0.00894	0.48198	0.00134	--	0	--	0.01045	0.96038	0.026	0.05466	0.13176	--	--	--	0.23042	0.62626	0.3714	0.12975	0.04567	1.93373	--	--	--	--	1.93373	--	--	--	--	--	--	--	--	--	--	--	0.10785	0	0.06443	0.00714	0	0	0	0.00879	0	--	0	0	0.02749	0	0	0.55152	0.00378	0.00554	0	0	0	0.00002	0.01871	0	0.00068	0	0.00002	0.00107	0.04313	0.01804	0	0.10567	0.00002	--	0.00525	0.00426	0	0.05583	0.00155	0	0.01613	0	0.00328	0	0.00159	0.00396	0.00086	0.00031	0.00062	0.01078	0.03465	--	0	0.02395	0.00387	0.00108	0	0.00007	0	0	0	0	0.01731	0.00772	0.00135	0.01065	0.0004	0.0003	0.00536	0	0.10114	0.04256	2.97718	0.00754	0	0.14984	0.00547	0.00007	0	0.0089	0.00055	0.67782	0	0	0	0	0	0	0.51805	0.03039	0.91905	0	0.11135	0.02359	0.01138	0	0.01649	0	0	0	0.00217	0.0028	0.21841	0	0.09359	0.00321	0.06608	0.00007	0	0	0.01626	0.04986	0.03076	--	0	0	0	0.01345	0	18.59989
1982	6.25901	0	2.68895	0	0.25052	0	3.31954	2.38434	0	0	0.19744	--	0	0	0.00042	0.0127	1.48457	0	0.08979	0.19152	0.02469	0.0109	0.00009	0.00869	0.0093	0.01737	0	0	0	0	0.00565	0.00005	0.0027	0.00884	0.00195	0	0	0	0.00476	0.0128	0.00706	0.08976	0.00109	0	0	0.00019	0.01099	0.00018	0	0.02531	0.16553	0	0	4.94933	0.03233	0.31778	0.006	--	0.03155	--	0	--	0.00029	0.00051	0.13546	0.03868	--	0.24353	0.73433	--	0.01827	0.23437	0	0.03712	0.00165	0.03737	0.00828	0.46611	0.00122	--	0	--	0.00314	0.95661	0.0199	0.0748	0.12264	--	--	--	0.27654	0.57871	0.38025	0.14437	0.04749	1.83426	--	--	--	--	1.83426	--	--	--	--	--	--	--	--	--	--	--	0.11035	0	0.0667	0.00631	0	0	0	0.00672	0	--	0	0	0.03062	0	0	0.54371	0.00496	0.00627	0	0	0	0.00002	0.0212	0	0.00071	0	0.00002	0.00182	0.04265	0.0181	0	0.10836	0.00002	--	0.006	0.00504	0	0.05165	0.00155	0	0.01691	0	0.00343	0	0.00236	0.00423	0.0011	0.0004	0.00097	0.00602	0.03093	--	0	0.02503	0.00441	0.00139	0	0.00008	0	0	0	0	0.01062	0.00799	0.00098	0.01075	0.0006	0.00041	0.0058	0	0.10363	0.0373	3.08297	0.00739	0	0.14595	0.00692	0.00008	0	0.00959	0.00057	0.77	0	0	0	0	0	0	0.50503	0.02908	0.94614	0	0.11302	0.01631	0.0119	0	0.01349	0	0	0	0.00215	0.00427	0.20461	0	0.09851	0.00315	0.07465	0.00013	0	0	0.01663	0.04974	0.03969	--	0	0	0	0.01398	0	19.16397
1983	6.61672	0	2.79142	0	0.2301	0	3.59519	2.59893	0	0	0.19469	--	0	0	0.00042	0.0126	1.6102	0	0.09606	0.19255	0.02951	0.01117	0.00016	0.00908	0.01801	0.01555	0	0	0	0	0.00899	0.00005	0.00282	0.00874	0.00215	0	0	0	0.00367	0.0105	0.00832	0.08721	0.00116	0	0	0.00019	0.00751	0.00016	0	0.07485	0.1926	0	0	5.11868	0.03332	0.31669	0.00567	--	0.03491	--	0	--	0.00063	0.00052	0.14144	0.04103	--	0.22747	0.72347	--	0.01771	0.21839	0	0.02452	0.00161	0.03966	0.00816	0.46491	0.00121	--	0	--	0.0021	1.10149	0.02218	0.08713	0.10451	--	--	--	0.28644	0.67546	0.37313	0.11709	0.04785	1.89556	--	--	--	--	1.89556	--	--	--	--	--	--	--	--	--	--	--	0.10583	0	0.06457	0.00625	0	0	0	0.00583	0	--	0	0	0.02918	0	0	0.52897	0.00245	0.00631	0	0	0	0.00024	0.02107	0	0.00067	0	0.00002	0.00241	0.04662	0.01122	0	0.10619	0.00002	--	0.00655	0.00569	0	0.02683	0.00161	0	0.01957	0	0.00337	0	0.00258	0.00466	0.00128	0.00041	0.00037	0.00501	0.05271	--	0	0.01953	0.0045	0.00159	0	0.00006	0	0	0	0	0.00626	0.00804	0.00068	0.01119	0.0002	0.00032	0.0054	0	0.10446	0.03887	3.31361	0.00785	0	0.13056	0.00696	0.00008	0	0.01034	0.00042	0.89984	0	0.00052	0.00017	0	0	0	0.52463	0.03302	0.99199	0	0.11539	0.0239	0.01072	0	0.01772	0	0	0	0.0033	0.00292	0.22136	0	0.11836	0.00401	0.0718	0.00013	0	0	0.01267	0.05225	0.0381	--	0	0	0	0.01458	0	20.1783
1984	6.71631	0	2.98159	0	0.25872	0	3.47599	2.82544	0	0	0.2146	--	0	0	0.00042	0.01268	1.75356	0	0.09942	0.2141	0.0311	0.01116	0.00017	0.00667	0.03302	0.01787	0	0	0	0	0.00686	0.00005	0.0029	0.00903	0.0014	0	0	0	0.00556	0.01691	0.00943	0.09132	0.00141	0	0	0.00023	0.00883	0.00013	0	0.07342	0.20316	0	0	5.16927	0.03384	0.30427	0.00592	--	0.03368	--	0	--	0.0007	0.00051	0.13692	0.03341	--	0.26773	0.68345	--	0.01825	0.21663	0	0.02977	0.00187	0.04094	0.0071	0.47217	0.00128	--	0	--	0.00021	1.0951	0.01946	0.10402	0.11701	--	--	--	0.33002	0.71938	0.31603	0.1379	0.04169	2.12094	--	--	--	--	2.12094	--	--	--	--	--	--	--	--	--	--	--	0.11216	0	0.06544	0.00631	0	0	0	0.00604	0	--	0	0	0.03437	0	0	0.47263	0.00539	0.00626	0	0	0	0.00041	0.02199	0	0.00072	0	0.00002	0.00259	0.0485	0.00385	0	0.10336	0.00002	--	0.00713	0.00631	0	0.01878	0.00162	0	0.01931	0	0.00233	0	0.00263	0.00484	0.00139	0.00038	0.00068	0.00378	0.00576	--	0	0.02682	0.00422	0.00168	0	0.00008	0	0	0	0	0.00585	0.00783	0.00135	0.01142	0.0004	0.00069	0.00639	0	0.10213	0.03573	3.31181	0.0079	0	0.1292	0.00936	0.00008	0	0.01044	0.00031	0.89713	0	0.00298	0.00025	0	0	0	0.55755	0.03552	0.88374	0	0.11618	0.02065	0.00981	0	0.03546	0	0	0	0.0035	0.00414	0.22693	0	0.13257	0.00424	0.09866	0.00017	0	0	0.0216	0.04604	0.04217	--	0	0	0	0.01524	0	20.72855
1985	6.52977	0	3.15911	0	0.28843	0	3.08223	3.04683	0	0	0.21458	--	0	0	0.00042	0.01236	1.87666	0	0.11014	0.2278	0.02872	0.011	0.00015	0.01122	0.03929	0.01666	0	0	0	0	0.00762	0.00005	0.00321	0.00905	0.0013	0	0	0	0.00586	0.02096	0.04247	0.10023	0.00191	0	0	0.00027	0.01005	0.00017	0	0.06669	0.22801	0	0	5.12912	0.03463	0.32563	0.00606	--	0.02313	--	0	--	0.00091	0.00051	0.12757	0.04492	--	0.25452	0.64322	--	0.01837	0.20552	0	0.02917	0.0016	0.0402	0.00861	0.4562	0.00109	--	0	--	0.00421	1.06009	0.02447	0.11526	0.123	--	--	--	0.32882	0.75061	0.33463	0.12355	0.04263	2.14212	--	--	--	--	2.14212	--	--	--	--	--	--	--	--	--	--	--	0.11243	0	0.0655	0.00631	0	0	0	0.00605	0	--	0	0	0.03457	0	0	0.49152	0.00668	0.00627	0	0	0	0.00048	0.02398	0	0.00063	0	0.00002	0.00301	0.05197	0.01404	0	0.08378	0.00002	--	0.0078	0.0069	0	0.0313	0.00168	0	0.02237	0	0.00271	0	0.00266	0.00491	0.00139	0.00032	0.00119	0.00486	0.00156	--	0	0.03111	0.00505	0.00169	0	0.00008	0	0	0	0	0.00652	0.00955	0.00193	0.01164	0.00079	0.00113	0.00656	0	0.10292	0.03202	3.50683	0.00804	0	0.14552	0.00772	0.00008	0	0.01037	0.00037	0.95565	0	0.00304	0.00033	0	0	0	0.52766	0.04385	0.98923	0	0.12721	0.03294	0.00895	0	0.03945	0	0	0	0.00347	0.005	0.21928	0	0.12655	0.00435	0.10665	0.00018	0	0	0.02476	0.06207	0.03817	--	0	0.00017	0	0.01577	0	20.95862
1986	6.6661	0	3.23227	0	0.24248	0	3.19134	3.2943	0	0	0.21831	0	0	0	0.00042	0.01217	1.92102	0	0.12088	0.26544	0.02994	0.0121	0.00014	0.00982	0.0446	0.01684	0	0	0	0.00031	0.01836	0.00005	0.00349	0.01329	0.0017	0	0	0	0.00486	0.02276	0.12439	0.10705	0.00233	0	0	0.00029	0.0079	0.00026	0	0.07539	0.26018	0	0	4.96096	0.03515	0.32821	0.00827	--	0.02405	--	0	--	0.00172	0.00051	0.12813	0.04178	--	0.28699	0.65137	--	0.01846	0.21641	0	0.03366	0.00159	0.04239	0.00951	0.46111	0.00121	--	0	--	0.00526	0.99624	0.02124	0.09339	0.11166	--	--	--	0.27803	0.6484	0.34447	0.12195	0.04981	2.22998	--	--	--	--	2.22998	--	--	--	--	--	--	--	--	--	--	--	0.10569	0	0.0641	0.0062	0	0.00003	0	0.00579	0	--	0	0	0.02957	0	0	0.5203	0.00258	0.00689	0	0	0	0.00064	0.02399	0	0.00079	0	0.00002	0.00277	0.05436	0.01232	0	0.08273	0.00002	--	0.00858	0.00695	0	0.04585	0.0017	0	0.02334	0	0.00329	0	0.00278	0.00529	0.00165	0.00019	0.00114	0.00653	0.0004	--	0	0.03754	0.00519	0.00156	0	0.00007	0	0	0	0	0.01695	0.00955	0.00158	0.01117	0.00079	0.00053	0.00669	0	0.10127	0.03261	3.6492	0.00745	0	0.15431	0.0047	0.00313	0	0.01077	0.00042	0.97728	0	0.00365	0.00037	0	0	0	0.55689	0.06026	0.9793	0	0.13444	0.03215	0.00856	0	0.04212	0	0	0	0.00451	0.00416	0.2442	0	0.14269	0.00472	0.10792	0.00021	0	0	0.02734	0.0634	0.05741	--	0	0.00031	0	0.01655	0	21.42653
1987	6.28355	0	3.28603	0	0.23521	0	2.76231	3.43113	0	0	0.22633	0	0	0	0.00042	0.01213	1.95229	0	0.12798	0.22485	0.03099	0.01192	0.00015	0.01031	0.04674	0.01628	0	0	0	0.00031	0.01821	0.00005	0.00346	0.01178	0.00194	0	0	0	0.00623	0.02195	0.19274	0.11438	0.00268	0	0	0.00032	0.00337	0.0003	0	0.07487	0.31814	0	0	5.2997	0.04146	0.27357	0.00975	--	0.02617	--	0	--	0.00221	0.00051	0.1423	0.05056	--	0.27069	0.72976	--	0.01798	0.23086	0	0.02886	0.00174	0.04326	0.00701	0.44557	0.00149	--	0	--	0.00732	1.06671	0.02034	0.0999	0.11551	--	--	--	0.28705	0.75932	0.36287	0.19133	0.06559	2.26578	--	--	--	--	2.26578	--	--	--	--	--	--	--	--	--	--	--	0.1084	0	0.06601	0.00629	0.0001	0.0002	0	0.00629	0	--	0	0	0.0295	0	0	0.50977	0.00512	0.00688	0	0	0	0.00098	0.02397	0	0.00076	0	0.00002	0.00287	0.05404	0.01267	0	0.0851	0.00002	--	0.00923	0.00696	0	0.04821	0.00172	0	0.02418	0	0.00329	0	0.00298	0.00581	0.00167	0.00026	0.00145	0.0086	0.00025	--	0	0.03387	0.00546	0.00171	0	0.00008	0	0	0	0	0.01685	0.00954	0.00191	0.01211	0.00079	0.00117	0.00638	0	0.08703	0.02584	3.57886	0.00788	0	0.14444	0.00533	0.01217	0	0.01055	0.00047	1.03354	0	0.00381	0.00036	0	--	0	0.48965	0.05464	0.92437	0	0.14028	0.04089	0.00553	0	0.05065	0	0	0	0.00566	0.00265	0.2457	0	0.15731	0.00451	0.0994	0.00019	0	0	0.02244	0.05683	0.04202	--	0	0.00031	0	0.01727	0	21.47719
1988	5.87999	0	3.15735	0	0.26466	0	2.45799	3.53598	0	0	0.15468	0	0	0	0.00041	0.01338	2.07026	0	0.12043	0.25624	0.03118	0.01313	0.00017	0.00898	0.04895	0.01784	0	0	0	0.00031	0.01968	0.00005	0.00343	0.01795	0.0019	0	0	0	0.0061	0.0238	0.20544	0.10827	0.00281	0	0	0.00036	0.00501	0.00027	0	0.05538	0.34958	0	0	5.7033	0.03833	0.37317	0.00956	--	0.02652	--	0	--	0.00345	0.00064	0.13658	0.04496	--	0.26442	0.77781	--	0.01775	0.2316	0	0.02435	0.00172	0.04557	0.0089	0.45424	0.00146	--	0	--	0.00845	1.11468	0.02121	0.13067	0.13918	--	--	--	0.36546	0.73324	0.37101	0.29433	0.06405	2.35916	--	--	--	--	2.35916	--	--	--	--	--	--	--	--	--	--	--	0.10848	0	0.06593	0.00726	0.0001	0.00028	0	0.00613	0	--	0	0	0.02878	0	0	0.53272	0.00187	0.00681	0	0	0	0.00106	0.0257	0	0.00076	0	0.00002	0.00295	0.05364	0.01267	0	0.08075	0.00002	--	0.00987	0.00691	0	0.04967	0.00173	0	0.02874	0	0.00331	0	0.0031	0.00581	0.00171	0.00026	0.00102	0.00956	0.00051	--	0	0.04097	0.00432	0.00172	0	0.00008	0	0	0	0	0.03264	0.00948	0.002	0.01273	0.00078	0.00049	0.006	0	0.0856	0.02745	3.98024	0.00768	0	0.14567	0.0069	0.01579	0	0.00956	0.00052	1.11508	0	0.00358	0.0006	0	--	0	0.59153	0.06865	1.09285	0	0.15331	0.02031	0.00503	0	0.05789	0	0	0	0.00575	0.00544	0.25577	0	0.17051	0.00454	0.11164	0.00019	0	0	0.02653	0.04776	0.03861	--	0	0.00031	0	0.01824	0	22.09987
1989	6.88711	0	3.03523	0	0.30329	0	3.54859	3.66045	0	0	0.13494	0	0	0	0.00042	0.01341	2.14863	0	0.10236	0.28064	0.03429	0.01336	0.00017	0.0065	0.05077	0.01948	0	0	0	0.00031	0.02249	0.00005	0.00346	0.01904	0.00223	0	0	0	0.00979	0.02322	0.25276	0.10904	0.00284	0	0	0.00038	0.01134	0.00026	0	0.04028	0.35802	0	0	5.05053	0.04012	0.37233	0.00956	--	0.02777	--	0	--	0.00491	0.00074	0.13457	0.04412	--	0.24261	0.49847	--	0.01618	0.2199	0	0.01971	0.00163	0.04667	0.00714	0.384	0.00113	--	0	--	0.01001	1.22496	0.01893	0.06623	0.13039	--	--	--	0.20516	0.7627	0.31272	0.18429	0.06358	2.30572	--	--	--	--	2.30572	--	--	--	--	--	--	--	--	--	--	--	0.10939	0	0.0692	0.0062	0.00003	0.00018	0	0.00516	0	--	0	0	0.02863	0	0	0.55067	0.00274	0.00696	0	0	0	0.00106	0.02714	0	0.00077	0	0.00002	0.0041	0.06088	0.01304	0	0.08262	0.00002	--	0.01037	0.00723	0	0.05402	0.00177	0	0.0306	0	0.00324	0	0.00328	0.0059	0.00175	0.00026	0.00153	0.01194	0.00052	--	0	0.04276	0.00513	0.00178	0	0.00008	0	0	0	0	0.02878	0.00966	0.00226	0.01493	0.00099	0.00035	0.00707	0	0.06992	0.03515	4.26427	0.00782	0	0.15764	0.0095	0.01595	0	0.01182	0.00056	1.2228	0	0.00362	0.00067	0	--	0	0.64175	0.0821	1.12467	0	0.15492	0.03061	0.0069	0	0.05407	0	0	0	0.00559	0.00538	0.25192	0	0.17523	0.00469	0.11966	0.00021	0	0	0.02893	0.05022	0.05753	--	0	0.00031	0	0.0392	0	22.82814
